SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED25704,26167,27267,53432,11172,5645,16814,2909,7126,10032,1009,1253,2261,594,434,1023,15681,14452,30129,8449,10786,19228,3.8,3,3.4,59.9,53,56.4,57.7,51.4,54.5,283,506,786,237,649,879,1515,3010,4527,1480,2608,4097,7204,3798,11003,203,420,621,281,443,726,7693,4658,12355,25553,26222,51778,3485,3775,7257,18125,18366,36494,9461,10196,19659
SED25802,30332,32415,62742,12956,6661,19611,3734,8795,12530,1178,1551,2732,862,714,1579,18729,17716,36450,9621,12683,22304,4.6,4.1,4.3,61.8,54.7,58.1,58.9,52.5,55.6,681,961,1639,426,987,1416,2382,4174,6550,2143,3652,5792,9382,4861,14244,255,568,816,424,604,1033,10059,6036,16096,30040,31218,61257,4700,5179,9880,19112,19647,38751,13694,14898,28592
SED25905,27239,28023,55261,12376,6793,19168,3817,6758,10580,971,1068,2038,1122,913,2034,18285,15530,33818,7452,10959,18418,6.1,5.9,6,67.1,55.4,61.2,63,52.2,57.5,1266,1337,2596,297,643,934,3455,4445,7895,2535,3212,5745,5871,3037,8913,228,360,588,370,567,934,6474,3968,10440,28599,29061,57661,3157,3154,6313,20055,20526,40578,9910,9977,19884
SED26005,33337,33680,67011,16420,8721,25141,4906,8755,13660,1155,1380,2534,1442,1359,2800,23921,20219,44136,7951,12043,19997,6,6.7,6.3,71.8,60,65.9,67.4,56,61.7,1759,1761,3527,361,842,1201,4348,5354,9698,3192,3969,7164,6601,3721,10324,314,433,746,451,692,1143,7367,4849,12217,36381,36125,72503,4793,4733,9533,24295,24273,48568,14468,14437,28908
SED26102,27700,29910,57610,8995,4724,13715,4071,7169,11239,1238,1599,2839,516,446,959,14816,13935,28751,10731,13612,24340,3.5,3.2,3.3,53.5,46.6,49.9,51.6,45.1,48.2,1066,1143,2211,493,989,1480,3535,4838,8375,2509,3697,6211,7029,3164,10190,191,393,586,404,631,1035,7624,4182,11806,25699,27308,53007,3932,4079,8013,16623,17701,34329,11778,12553,24337
SED26207,24645,26694,51337,11360,6915,18270,3172,6493,9671,894,1227,2125,802,612,1414,16232,15241,31468,7511,10505,18013,4.9,4,4.5,65.9,57.1,61.3,62.6,54.8,58.6,1353,1504,2861,490,956,1443,4297,5567,9861,2163,2611,4774,5033,2010,7040,154,247,403,334,583,916,5519,2842,8367,25724,27258,52983,3026,3114,6142,18423,19859,38282,8899,9257,18158
SED26303,26907,30258,57167,13062,10585,23647,4667,8384,13048,975,1434,2409,933,818,1749,19638,21218,40851,6185,7939,14128,4.7,3.9,4.3,73,70.1,71.5,69.5,67.4,68.4,3456,4857,8312,1145,2212,3357,7748,9273,17026,2071,2567,4637,2915,1466,4375,158,181,341,282,334,616,3354,1976,5327,25209,27515,52726,5378,6264,11641,16268,17916,34174,12911,14447,27357
SED26406,30962,31793,62761,13833,9531,23362,5227,8216,13446,1081,1373,2461,1269,1067,2333,21405,20196,41602,8096,10248,18346,5.9,5.3,5.6,69.1,63.5,66.3,65,60.2,62.6,4362,4313,8680,757,1285,2041,7979,8887,16866,2709,3083,5791,3466,1739,5202,154,214,372,318,462,780,3936,2419,6349,26731,27632,54357,7742,7438,15178,16123,17406,33528,16753,16284,33035
SED26504,24153,25577,49730,9605,5372,14974,3215,6749,9961,987,1224,2206,477,347,822,14284,13682,27969,8246,10193,18439,3.4,2.5,3,59.1,53.5,56.2,57.2,52.2,54.6,466,732,1190,351,861,1219,1952,3303,5258,1702,2842,4549,6752,3422,10175,214,404,612,331,439,774,7296,4262,11559,23413,24395,47807,3529,3732,7262,16095,16548,32648,9603,10350,19949
SED26603,32050,33937,65988,14924,9904,24834,5198,8465,13667,1131,1614,2747,1212,942,2159,22472,20930,43399,7888,11339,19227,5.4,4.5,5,70.1,61.7,65.8,66.3,58.9,62.5,3015,3463,6476,744,1554,2299,6737,7960,14699,2937,3388,6330,4911,2312,7221,171,277,446,384,533,913,5463,3117,8580,30632,32313,62949,5888,5918,11809,19132,20848,39986,15322,15401,30730
SED26708,26727,26968,53692,11675,5665,17342,3580,7800,11381,1205,1433,2641,479,368,850,16945,15271,32215,7959,9978,17938,2.8,2.4,2.6,63.4,56.6,60,61.6,55.3,58.4,681,958,1640,375,916,1289,2402,4045,6450,1968,3025,4989,7287,3678,10966,230,398,616,335,409,749,7848,4482,12330,26525,26433,52958,3545,3552,7093,18245,17991,36242,10287,10608,20894
SED26806,32704,35032,67737,17378,14756,32134,4977,7232,12211,1129,1444,2576,1063,953,2023,24546,24385,48934,5860,8207,14066,4.3,3.9,4.1,75.1,69.6,72.2,71.8,66.9,69.3,4853,5389,10238,958,1729,2684,11118,12221,23335,2795,3404,6198,2737,1633,4365,162,187,351,340,467,816,3237,2295,5528,23314,24516,47831,9579,10575,20159,11675,12702,24380,20232,21416,41646
SED26903,28566,30087,58653,11966,8274,20239,4653,7314,11966,1089,1320,2413,1224,943,2165,18932,17851,36784,7919,10539,18459,6.5,5.3,5.9,66.3,59.3,62.7,62,56.2,59,2350,2649,5003,566,1247,1812,5542,6607,12144,2584,2966,5553,4254,2346,6600,187,271,463,321,460,779,4770,3074,7842,26777,27831,54607,5133,5191,10326,17161,18401,35559,12997,13033,26031
SED27003,33282,34617,67900,18354,15121,33474,4925,7480,12411,1094,1500,2593,1041,868,1912,25415,24969,50384,5941,7893,13834,4.1,3.5,3.8,76.4,72.1,74.2,73.2,69.6,71.4,4954,5728,10682,1290,1955,3244,11589,12244,23826,2476,2789,5260,2824,1584,4399,177,221,401,292,373,667,3289,2175,5468,25120,26327,51446,9508,9874,19380,13632,14694,28326,19772,20341,40112
SED27101,25879,27794,53672,12668,7849,20513,3882,7481,11358,810,1190,2005,840,762,1600,18199,17281,35481,6784,9594,16382,4.6,4.4,4.5,70.3,62.2,66.1,67.1,59.4,63.1,2569,2714,5282,777,1328,2100,5723,6985,12710,2614,3168,5783,4218,2181,6396,150,214,361,342,490,829,4708,2883,7594,26648,28130,54784,3915,4116,8026,17437,18602,36037,11449,12027,23473
SED27208,28651,28240,56887,10262,5546,15804,3277,6926,10198,1039,1172,2208,688,531,1218,15256,14173,29436,11196,11958,23162,4.5,3.7,4.1,53.3,50.2,51.7,50.9,48.3,49.6,569,674,1246,315,789,1102,1791,3271,5065,1682,2951,4633,7461,3944,11399,282,489,766,322,449,772,8062,4878,12937,26780,26905,53689,3518,3789,7299,18748,18400,37150,10135,10880,21010
SED27305,22554,23469,46026,11625,6675,18300,3223,6738,9965,700,981,1679,727,645,1373,16278,15045,31319,5681,7837,13511,4.5,4.3,4.4,72.2,64.1,68,68.9,61.3,65.1,1471,1433,2910,376,730,1100,3982,4766,8753,2261,2883,5141,4898,2201,7099,141,260,396,300,486,790,5340,2945,8287,24313,24804,49111,2224,2281,4502,18371,18780,37159,7019,7238,14256
SED27406,25079,28130,53203,12117,7913,20029,3713,7561,11275,782,1196,1979,705,608,1318,17323,17282,34599,6935,9924,16858,4.1,3.5,3.8,69.1,61.4,65,66.3,59.3,62.6,2597,2642,5240,781,1447,2230,6747,7750,14494,2579,3423,6001,3361,1692,5057,126,224,350,358,613,970,3844,2533,6369,25062,27648,52711,4120,4487,8612,16485,18353,34834,11430,12552,23979
SED27504,29472,30801,60270,12399,6962,19355,3369,7691,11054,1070,1242,2316,898,624,1524,17734,16520,34245,9366,11983,21347,5.1,3.8,4.4,60.2,53.6,56.8,57.1,51.6,54.3,682,856,1533,362,928,1289,2100,3732,5836,1899,3251,5151,7067,3933,11004,276,451,734,342,480,817,7685,4864,12554,29307,29638,58946,4258,4721,8982,19367,19393,38765,12271,13265,25537
SED27608,35441,38415,73858,17136,9494,26630,5703,12245,17954,1302,1973,3282,946,827,1770,25086,24542,49632,8879,12438,21315,3.8,3.4,3.6,70.8,63.9,67.2,68.1,61.7,64.8,2487,2334,4815,808,1842,2654,6683,8813,15498,3662,4856,8522,8197,4312,12505,226,422,652,444,708,1151,8866,5446,14310,34613,36337,70950,8042,8712,16753,19566,20600,40167,20477,21875,42353
SED27708,26213,28191,54400,11358,5980,17339,3542,8093,11634,1072,1351,2422,555,499,1059,16524,15921,32449,7978,10571,18549,3.3,3.2,3.3,63,56.5,59.6,60.9,54.7,57.7,673,932,1599,391,965,1358,2353,4045,6405,1768,3102,4873,7006,4022,11021,239,433,669,311,491,799,7554,4941,12497,26077,27326,53398,3645,3986,7631,17685,18267,35949,10613,11682,22299
SED27807,31620,31559,63178,10589,6068,16663,4783,6270,11058,1144,1163,2307,1634,1389,3021,18148,14895,33047,10654,14179,24835,9,9.3,9.1,57.4,47.2,52.3,52.2,42.8,47.5,1515,1322,2837,278,574,851,3879,4388,8266,2294,2624,4917,4477,2507,6986,260,352,610,403,504,905,5143,3355,8503,30092,30221,60315,4421,4162,8585,20556,21382,41939,12170,11295,23464
SED27907,26418,27752,54173,12837,7458,20293,3266,7029,10294,971,1383,2353,906,808,1717,17974,16681,34657,7188,9892,17082,5,4.9,5,68,60.1,64,64.6,57.2,60.8,814,1054,1871,360,900,1256,2786,4284,7070,2453,3266,5719,7259,3498,10760,221,403,625,387,599,984,7867,4500,12368,27174,28255,55437,3578,3677,7254,18212,18950,37165,10863,11348,22209
SED28007,31465,32601,64065,15558,8963,24520,4513,8530,13045,1200,1572,2770,1315,1185,2494,22581,20250,42829,7659,11138,18800,5.8,5.8,5.8,71.8,62.1,66.9,67.6,58.5,63,1342,1517,2861,360,873,1233,4603,5977,10579,2830,3475,6304,6340,3136,9473,225,381,601,512,734,1247,7076,4248,11331,34433,35136,69573,3454,3519,6975,25307,25865,51165,10549,10876,21422
SED28107,50827,48195,99011,23967,13297,37262,8544,11435,19985,2235,2128,4362,2280,2400,4677,37025,29264,66288,10638,16047,26686,6.2,8.2,7.1,72.8,60.7,66.9,68.4,55.7,62.2,6338,5585,11923,748,1286,2038,9168,10650,19816,5592,5254,10841,7042,4089,11131,323,407,736,573,759,1332,7938,5253,13195,51108,49922,101033,11976,10924,22902,26367,26445,52809,31216,29319,60536
SED28203,32431,32887,65317,13079,7217,20294,4787,7044,11829,1137,1251,2388,1412,1175,2585,20419,16680,37091,10201,14564,24765,6.9,7,7,63,50.7,56.8,58.6,47.1,52.8,2034,2067,4091,328,696,1021,4198,5077,9275,2881,3296,6174,5017,2794,7812,226,318,548,382,569,948,5628,3686,9305,32949,33228,66174,5865,5589,11451,20635,21168,41804,15459,15155,30610
SED28301,25050,27038,52085,11116,6368,17484,3943,7559,11502,800,987,1788,827,726,1554,16685,15644,32333,7625,10605,18229,4.9,4.7,4.8,66.6,57.9,62.1,63.3,55.2,59.1,2628,2425,5053,667,1125,1792,6018,6800,12821,2408,3063,5468,3755,1668,5421,126,232,359,287,560,846,4168,2462,6626,26533,27929,54464,3229,3415,6644,19148,20165,39317,9389,9946,19336
SED28408,24248,27324,51564,10234,6052,16292,3436,7361,10798,788,1209,1995,788,648,1437,15246,15273,30518,7702,10600,18301,5.2,4.2,4.7,62.9,55.9,59.2,59.6,53.5,56.4,1259,1513,2774,615,1140,1753,3261,4676,7938,1916,2748,4659,5617,3381,9004,231,386,614,289,428,717,6141,4200,10335,23375,25663,49039,4752,5164,9913,14507,15867,30371,12157,13438,25597
SED28507,34446,35922,70371,16592,9368,25962,4617,8306,12919,1273,1555,2819,1533,1562,3094,24012,20789,44805,8297,12976,21273,6.4,7.5,6.9,69.7,57.9,63.7,65.3,53.5,59.3,2526,2436,4971,476,990,1464,4716,5779,10498,2931,3904,6837,7052,4338,11397,335,462,798,445,626,1073,7842,5426,13267,34626,35378,69997,7085,7402,14483,19171,19553,38719,19357,20205,39560
SED28607,29012,30835,59851,14819,10365,25182,4055,7594,11646,993,1486,2482,1027,816,1839,20887,20257,41146,6850,9313,16159,4.9,4,4.5,72,65.7,68.7,68.5,63.1,65.7,2694,3258,5953,880,1776,2655,6932,8410,15343,2617,3007,5624,4551,1944,6489,180,246,420,357,470,829,5086,2654,7737,28977,30263,59237,5452,5663,11113,19109,20145,39259,13230,13846,27075
SED28704,37873,39851,77724,20698,10903,31599,4925,11860,16793,1369,2116,3485,1172,1219,2388,28166,26101,54266,8242,12287,20530,4.2,4.7,4.4,74.4,65.5,69.8,71.3,62.4,66.7,1994,2173,4169,585,1480,2064,4814,7147,11961,3740,5244,8986,10321,5122,15444,323,572,898,521,828,1353,11169,6530,17695,41620,42767,84392,6361,6524,12887,24721,25279,49996,19687,20724,40414
SED28803,48779,49735,98518,22377,11930,34304,7372,11639,19013,1848,2171,4023,2326,2221,4548,33923,27965,61887,12370,19371,31742,6.9,8,7.4,69.5,56.2,62.8,64.8,51.8,58.2,2939,3125,6064,504,1236,1744,6543,8493,15031,5089,5585,10671,8257,5015,13271,417,544,962,640,908,1546,9319,6465,15783,51984,51783,103767,9938,10083,20026,27737,27873,55612,29144,29388,58536
SED29494,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
SED29797,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
