LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA26610,129,3,0,0,0,129,74,0,0,0,0,74,106,0,0,0,0,106,199,7,0,0,0,202,279,8,5,0,0,284,549,6,3,0,0,563,341,3,0,0,0,348,248,0,0,0,0,248,63,0,0,0,0,63,47,0,0,0,0,54,37,0,0,0,0,37,142,0,3,0,0,145,2208,21,12,9,3,2252
LGA26670,45,0,0,0,0,52,24,0,0,0,0,24,31,0,0,0,0,34,71,0,0,0,0,71,94,0,0,0,0,94,144,0,0,3,0,152,122,0,0,0,0,122,74,0,0,0,0,74,38,0,0,0,0,38,18,0,0,0,0,18,17,0,0,0,0,17,33,0,0,0,0,33,723,0,0,3,0,725
LGA26700,164,5,0,0,0,172,98,4,0,0,0,101,101,0,0,0,0,97,192,11,0,0,0,205,350,23,0,0,0,373,878,20,0,0,0,901,744,10,0,0,0,754,555,0,0,0,0,554,160,0,0,0,0,161,134,0,0,0,0,133,96,0,0,0,0,101,230,3,0,0,0,235,3700,83,0,7,4,3789
LGA26730,176,11,4,0,0,195,85,7,5,0,0,95,83,7,0,0,0,92,188,21,6,0,0,217,297,32,12,3,0,348,1008,60,19,9,0,1096,976,30,8,0,0,1015,709,17,3,3,0,728,197,5,0,0,0,202,151,0,0,0,0,152,97,0,0,0,0,99,229,9,4,0,0,247,4199,199,63,20,4,4486
LGA26810,299,7,0,0,0,311,187,0,9,0,0,192,202,3,4,0,0,206,403,9,3,0,0,419,575,9,8,0,0,593,1362,20,6,0,0,1393,1044,8,6,4,0,1061,704,9,0,0,0,713,220,0,0,0,0,224,158,5,0,0,0,167,137,0,0,0,0,139,335,12,3,0,0,349,5635,81,38,10,5,5774
LGA26890,42,0,0,0,0,42,46,0,0,0,0,46,35,0,0,0,0,35,37,0,0,0,0,39,50,0,0,0,0,52,45,0,0,0,0,45,12,0,0,0,0,12,13,0,0,0,0,13,8,0,0,0,0,8,5,0,0,0,0,5,8,0,0,0,0,8,36,0,0,0,0,36,327,0,0,5,0,325
LGA26980,1050,254,54,0,0,1364,234,73,15,0,0,320,211,52,20,0,0,276,306,95,20,0,0,423,395,114,56,0,0,560,1066,348,287,0,7,1707,1175,432,347,0,0,1955,2168,817,294,4,0,3276,1697,633,93,0,0,2422,2724,608,79,0,0,3413,2584,353,40,0,0,2983,951,237,83,0,0,1278,14558,4021,1396,6,4,19987
LGA27070,1191,91,16,0,3,1300,440,59,3,0,0,500,397,35,7,0,0,445,637,70,20,0,0,724,966,118,37,0,0,1116,3310,410,118,0,3,3842,5313,646,111,0,5,6077,9018,627,64,0,4,9710,3688,175,18,0,0,3880,2181,121,12,0,0,2315,1310,59,10,0,0,1385,2145,173,20,0,0,2334,30597,2586,428,3,11,33632
LGA27170,214,5,0,0,0,222,130,5,0,0,0,135,103,3,0,0,0,102,193,19,0,0,0,219,408,34,10,0,0,446,1295,37,8,0,0,1338,1336,10,0,0,4,1353,967,5,0,0,4,971,275,0,0,0,0,277,207,0,0,0,0,214,125,0,0,0,0,125,276,13,0,0,0,288,5528,133,22,4,9,5691
LGA27260,1354,99,19,0,0,1468,397,53,15,0,0,458,358,46,11,0,0,415,724,66,18,0,0,808,1020,131,27,0,0,1178,4039,495,105,0,0,4642,7394,748,103,0,3,8251,12836,738,49,0,6,13629,4715,245,7,0,0,4966,2789,154,11,0,0,2955,1569,89,4,0,0,1661,2689,196,26,0,0,2912,39898,3056,382,0,20,43354
LGA27350,102,230,129,0,0,457,20,48,28,0,0,93,17,23,33,0,0,76,21,51,75,3,0,150,28,94,107,0,0,235,112,245,530,5,0,893,88,252,755,11,0,1107,164,501,1000,22,0,1687,162,381,511,15,0,1063,256,790,465,5,0,1519,523,1058,312,15,0,1906,86,265,175,0,0,531,1577,3933,4125,78,4,9716
LGA27450,1205,31,0,0,0,1237,482,20,4,0,0,503,425,17,0,0,0,445,696,16,0,7,0,717,986,31,0,0,0,1019,3022,114,11,0,5,3149,3914,155,13,0,0,4076,6329,191,11,0,7,6539,3691,63,7,0,4,3762,2479,26,0,4,4,2507,1275,13,0,4,5,1287,1620,35,6,5,0,1667,26115,694,64,12,21,26908
LGA27630,85,0,0,0,0,85,68,0,0,0,0,72,75,0,0,0,0,75,112,0,0,0,0,114,78,0,0,0,0,80,87,0,0,0,0,90,32,0,0,0,0,32,21,0,0,0,0,21,10,0,0,0,0,10,9,0,0,0,0,9,3,0,0,0,0,3,16,0,0,0,0,16,591,0,0,6,0,594
LGA29399,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,9,0,0,19
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
