LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA22620,0,9,12,82,15,0,0,0,0,116,0,0,3,12,31,10,0,0,0,62,3,43,69,336,115,63,44,12,0,684,0,0,0,8,4,3,4,3,0,31,0,0,0,6,0,0,0,0,0,12,0,0,5,26,32,71,92,61,25,314,0,3,5,18,9,12,6,0,0,51,5,16,37,88,68,37,24,17,4,297,6,21,29,130,39,29,18,10,3,280,0,5,3,52,3,0,0,0,0,65,9,189,322,218,20,21,5,0,0,776,0,0,0,6,8,3,4,3,0,24,5,16,23,53,42,28,38,9,0,218,0,8,8,74,28,16,5,0,0,140,0,0,0,7,12,17,17,12,3,61,0,3,5,38,15,9,5,0,0,72,17,62,71,245,111,116,105,87,21,839,336,775,672,1706,852,960,756,577,283,6923,7147,15590,14265,30365,14673,15299,13545,7499,3097,121470
LGA22670,48,389,413,1234,174,77,43,10,0,2388,0,0,4,13,5,0,0,0,0,28,12,135,265,1180,431,385,189,55,17,2662,0,0,5,67,46,140,202,94,52,592,0,9,26,85,67,66,44,12,3,302,0,0,4,16,29,43,79,95,30,299,4,29,38,128,49,45,39,8,3,339,4,15,30,95,76,52,88,46,22,427,39,200,496,2752,817,756,686,407,138,6287,0,3,10,160,8,21,17,3,0,223,13,141,271,732,144,58,30,4,0,1390,4,15,23,161,202,191,129,78,14,813,5,30,29,75,15,14,13,9,0,193,43,316,909,4457,3170,3233,1756,543,262,14693,0,0,3,7,5,3,8,9,3,38,0,7,14,62,7,0,0,0,0,95,40,274,520,2302,1201,1286,1089,741,304,7761,515,842,938,2901,910,846,631,460,202,8242,9620,17788,19987,50824,18472,16646,13369,8102,3400,158208
LGA22750,14,99,153,462,42,9,17,0,0,803,0,4,0,23,55,27,6,0,0,126,15,107,220,907,351,234,144,34,4,2017,0,0,3,77,49,59,111,48,61,406,0,3,0,25,9,5,0,0,0,51,0,30,27,178,149,312,376,283,90,1443,0,28,40,94,45,45,44,3,3,314,3,48,98,299,170,152,106,44,16,936,7,29,122,470,77,42,56,18,6,830,0,5,4,76,8,12,0,0,0,104,3,162,228,290,86,44,13,0,0,825,0,5,3,39,44,31,24,31,0,176,14,68,86,290,121,97,92,38,0,813,3,21,84,297,135,102,41,10,7,690,0,10,13,36,46,66,71,46,14,306,0,3,28,110,39,23,15,4,0,226,29,262,359,1376,618,788,800,691,305,5238,479,1353,1443,3263,1553,1473,1572,1150,458,12749,15470,32304,32292,72609,32985,32161,29684,16706,6844,271057
LGA22830,9,64,49,141,13,5,5,0,0,285,0,0,3,8,5,3,5,0,0,31,3,50,62,337,91,77,47,6,0,683,0,0,0,8,0,3,5,0,6,17,3,13,28,47,30,13,8,0,0,139,0,0,4,13,12,24,42,24,7,131,0,0,0,8,6,6,3,0,0,26,0,11,14,37,18,10,3,8,3,109,5,19,14,85,39,21,6,0,0,191,0,0,3,127,3,6,4,0,0,146,0,8,8,82,28,20,6,3,0,155,0,0,3,53,79,66,35,18,0,258,0,15,10,27,13,7,7,3,0,82,0,10,0,46,23,0,4,0,0,89,0,0,0,4,0,3,4,6,0,25,0,0,5,14,17,3,0,0,0,48,29,169,218,565,170,168,116,76,35,1553,239,618,558,1295,616,666,581,444,209,5237,4084,9136,7966,17069,8527,8503,7214,4255,1649,68409
LGA22910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,8,3,5,0,0,40,0,0,0,7,4,3,6,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,13,26,5,3,78,0,0,0,4,3,5,0,0,0,16,0,3,0,12,14,12,14,3,0,54,0,0,0,8,0,3,0,3,0,24,0,0,0,6,0,0,0,0,0,3,0,0,3,9,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,3,0,31,18,16,21,4,0,88,0,0,0,5,0,0,0,0,0,7,0,0,0,7,0,10,5,5,0,20,0,0,0,0,4,0,5,0,0,13,0,3,8,39,36,46,63,36,19,255,54,132,80,251,210,223,244,131,60,1378,677,1677,1192,3046,2432,2927,2881,1311,467,16604
LGA22980,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,17,8,6,9,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,3,0,0,17,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,29,33,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,13,0,0,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,4,0,0,4,12,5,9,6,6,4,37,10,37,29,71,32,58,59,61,45,401,285,560,520,1144,664,918,784,537,282,5698
LGA23110,8,21,11,147,13,3,0,0,0,204,0,0,0,13,16,5,0,0,0,37,10,48,68,478,175,179,140,28,3,1123,0,5,6,77,33,34,73,31,39,298,0,0,0,9,16,3,0,0,0,36,0,4,14,110,61,137,131,65,27,554,4,25,9,76,33,26,18,8,0,200,5,16,27,187,87,43,24,18,3,415,0,3,5,106,42,25,22,6,0,218,0,0,6,38,4,10,0,0,0,53,6,70,70,163,43,22,10,0,0,395,0,3,5,35,15,18,7,0,0,90,8,39,33,188,65,44,35,8,0,411,3,35,48,412,349,331,236,56,15,1487,0,0,5,28,19,25,10,8,3,95,0,0,0,39,21,4,0,0,0,71,18,110,146,1081,477,508,482,346,187,3349,239,441,374,1332,521,413,368,234,118,4035,5775,11159,9032,26675,12897,11063,8051,4548,2115,91322
LGA23190,0,0,0,7,4,0,0,0,0,10,0,0,0,4,0,5,5,3,0,12,5,18,26,61,22,9,10,4,0,144,0,0,0,4,0,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,7,3,40,0,0,0,0,0,0,0,0,0,11,0,10,0,11,4,0,7,0,0,44,0,0,0,15,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,5,0,6,20,30,4,0,0,0,0,59,0,5,5,3,3,0,0,0,0,19,0,3,3,14,5,3,0,0,0,33,0,0,0,11,3,0,0,0,0,15,0,0,0,0,0,6,0,0,0,8,0,6,0,4,0,3,0,0,0,15,0,10,3,37,27,16,12,11,8,132,42,122,161,276,138,165,129,123,51,1197,1166,2572,2346,4824,2421,2759,2266,1425,656,20429
LGA23270,59,452,479,2381,355,102,52,12,0,3886,0,3,13,23,28,18,5,0,0,86,16,149,318,1394,610,538,307,69,11,3424,0,0,0,66,50,74,95,35,17,327,6,74,129,330,281,231,105,20,0,1177,0,3,9,66,57,113,148,103,31,534,6,46,69,147,70,81,31,5,3,456,0,27,41,116,79,56,45,11,6,386,11,186,377,1537,735,621,250,109,37,3867,0,4,9,68,13,9,5,0,0,109,7,37,54,336,87,51,13,0,0,582,20,152,250,1785,1911,1802,878,470,73,7337,12,74,52,126,44,35,28,7,0,379,4,40,69,502,346,354,156,47,18,1538,0,0,0,17,10,12,8,7,5,61,0,9,35,102,57,12,3,0,0,223,98,1113,1276,4045,1954,1773,1211,638,206,12316,814,1825,1480,4125,1469,1156,795,510,178,12348,18851,35900,31810,77282,28715,24719,16262,7891,2473,243901
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,5,0,12,10,8,9,0,0,40,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,19,7,0,54,0,0,0,0,9,0,0,0,0,8,0,0,0,5,7,3,4,3,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,6,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3,6,0,0,14,4,15,10,4,0,46,0,0,0,3,4,0,5,0,0,12,0,0,0,0,3,10,7,8,0,28,0,0,0,0,0,0,0,0,0,3,4,0,4,27,21,33,28,29,12,145,35,108,93,233,163,182,142,96,33,1086,849,2192,1572,3401,2453,2796,2468,1232,394,17368
LGA23430,0,12,23,108,23,17,20,0,0,209,0,0,3,11,36,21,8,0,0,85,5,56,110,534,248,272,178,45,16,1456,0,3,9,149,96,119,181,61,19,638,0,0,5,11,7,4,5,0,0,40,0,33,60,205,170,190,178,134,67,1045,7,42,40,117,58,33,34,19,0,342,8,118,130,448,349,194,124,71,21,1469,3,12,77,428,210,278,342,159,67,1576,0,3,11,126,13,15,5,0,0,179,8,29,41,280,95,37,18,3,0,511,0,14,11,106,112,145,113,72,22,600,25,80,65,225,105,93,47,20,0,656,0,40,72,458,367,344,268,81,20,1640,0,9,5,46,28,30,28,15,8,169,0,0,10,45,34,20,13,6,3,118,35,296,294,2031,1214,1045,962,609,245,6733,237,442,453,1437,603,566,556,483,271,5049,8611,18597,16935,42607,22848,19205,15387,9541,4401,158129
LGA23670,4,22,30,188,32,32,22,3,0,334,0,0,0,24,32,17,3,0,0,70,8,71,135,579,304,217,167,52,11,1534,0,8,4,87,61,106,142,31,51,494,0,3,4,19,11,7,12,0,0,59,0,5,15,65,64,146,194,121,45,646,3,89,190,277,180,155,130,27,16,1061,4,38,83,280,215,167,174,72,16,1058,7,112,304,1285,638,685,528,186,48,3788,4,23,7,178,39,40,35,6,0,340,4,29,43,220,86,36,10,4,0,439,0,0,0,23,30,31,24,12,3,130,6,50,49,152,52,62,35,12,9,423,5,29,54,319,348,353,195,43,16,1357,0,3,3,17,14,32,34,25,21,154,0,0,10,52,21,15,14,3,0,116,17,112,232,945,577,696,618,533,316,4061,209,483,474,1284,536,530,490,460,241,4703,8428,18684,18981,42500,21548,20530,15998,8898,3540,159103
LGA23810,0,11,4,42,8,7,5,0,0,63,0,0,0,5,11,5,4,0,0,19,9,32,46,249,86,118,65,18,0,627,0,0,0,13,10,11,37,10,9,87,0,0,0,16,3,4,0,0,0,21,0,0,10,18,29,95,161,124,45,481,0,0,0,15,7,6,0,0,0,25,3,10,16,39,44,31,15,10,0,167,0,9,16,65,32,12,15,6,0,158,0,0,0,13,0,0,0,4,0,24,4,18,33,57,24,11,4,0,0,142,0,0,0,5,0,3,0,0,0,20,4,13,19,37,22,23,27,9,0,151,0,8,0,51,21,15,8,0,0,102,0,0,3,5,5,9,15,8,6,57,0,0,7,10,14,5,6,0,0,44,11,41,78,217,118,169,202,155,70,1047,285,690,631,1476,711,817,714,470,254,6053,4295,9404,8639,18677,9314,10657,9321,5066,1947,77318
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,14,45,17,8,0,0,0,107,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,5,0,22,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,6,5,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,11,20,10,0,54,23,75,66,125,124,159,162,102,70,907,317,842,655,1313,988,1388,1299,651,308,7759
LGA24130,0,0,0,3,0,0,0,0,0,12,0,0,0,4,20,9,6,0,0,35,0,8,19,55,24,4,11,5,0,124,0,0,0,12,8,4,13,4,0,52,0,0,0,0,0,0,0,0,0,6,0,5,8,43,53,59,65,41,11,279,0,8,9,10,10,14,3,0,0,49,0,3,11,59,40,25,19,0,3,172,0,3,0,13,6,14,10,0,0,61,0,0,4,70,0,0,0,0,0,80,0,15,9,23,11,5,3,0,0,55,0,0,0,7,10,5,0,0,0,21,7,19,22,52,36,42,29,10,5,223,0,0,3,19,13,5,0,0,0,41,0,6,0,13,14,9,24,6,4,77,0,0,0,3,11,4,6,0,0,23,8,23,30,127,128,104,123,90,24,658,80,292,273,538,435,433,362,235,80,2730,2854,7371,5410,11145,7838,7007,5937,2999,893,51458
LGA24210,5,64,63,334,70,30,22,10,7,598,0,6,0,9,25,5,3,0,3,57,0,46,45,225,94,75,76,10,5,582,0,0,0,31,17,28,66,41,25,211,0,0,0,0,0,0,0,0,0,3,0,8,3,27,34,56,61,70,37,289,6,79,102,269,144,145,124,53,10,933,11,70,139,249,224,194,127,60,10,1074,0,27,53,269,155,149,133,71,28,879,6,36,44,367,122,94,122,23,5,819,3,12,27,139,30,12,13,5,3,252,3,6,4,30,49,69,22,15,11,214,14,96,81,93,61,48,27,12,3,447,0,16,61,251,282,315,181,59,26,1191,0,0,0,11,6,21,11,7,4,71,0,0,5,44,21,28,8,6,0,124,27,229,208,849,474,539,508,466,245,3540,161,312,324,876,475,394,416,449,273,3681,5556,14586,14700,29447,16718,15921,13063,10148,4558,124700
LGA24250,0,3,0,6,0,0,0,0,0,9,0,0,0,5,3,3,0,0,0,8,0,0,0,6,0,3,0,0,0,18,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,12,12,0,42,0,6,0,0,0,0,0,0,0,12,0,0,0,3,6,7,4,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,14,0,0,3,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,7,8,3,0,31,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,6,23,16,19,26,19,15,125,19,85,76,175,101,160,140,62,11,823,397,1344,868,1999,1229,1703,1645,762,239,10178
LGA24330,0,13,36,192,17,4,3,0,0,263,0,0,3,22,24,4,4,0,0,63,4,39,90,663,177,130,111,48,13,1269,0,0,3,78,33,34,34,19,30,240,0,0,0,16,4,5,3,4,0,30,0,0,9,116,44,42,28,18,5,262,3,6,9,183,40,21,23,5,0,284,0,6,13,149,46,15,11,0,0,235,0,12,30,169,34,25,12,6,10,297,3,6,4,118,13,7,7,5,0,157,0,15,36,203,40,18,8,3,0,323,0,0,8,63,43,58,13,12,0,203,13,21,25,215,62,23,10,8,0,373,24,123,490,2070,1638,1664,1133,364,161,7669,0,0,0,23,18,3,3,0,0,50,0,3,3,64,4,5,0,0,0,76,15,120,295,2100,625,451,317,209,68,4202,153,324,448,1774,487,405,295,200,138,4218,4942,8321,9001,34516,10931,8225,5253,2669,1348,85209
LGA24410,0,10,23,99,15,14,10,4,0,171,0,0,0,18,20,18,11,0,0,70,4,23,35,296,128,110,50,15,4,671,0,0,0,35,32,50,61,24,17,213,0,0,0,8,4,0,0,0,0,12,0,9,18,51,82,113,142,114,61,586,4,38,37,113,56,50,37,6,6,348,5,34,60,239,160,132,93,48,11,797,0,23,30,385,85,106,93,36,14,775,0,7,13,123,46,19,8,3,0,222,4,51,66,175,64,26,10,3,0,403,0,0,3,12,12,12,5,0,0,51,9,23,52,131,67,59,49,9,3,399,6,12,29,173,113,89,82,28,9,521,0,0,5,17,15,28,28,14,12,112,0,0,0,36,19,23,7,0,0,84,17,83,135,640,342,301,314,263,108,2197,140,333,295,967,412,382,323,294,185,3317,6862,14162,12920,31901,15364,13610,10760,6580,2883,115043
LGA24600,6,6,67,299,11,7,3,0,0,396,0,0,14,22,22,8,0,0,0,67,14,35,321,1608,167,101,47,11,4,2315,0,0,14,127,26,32,35,16,14,268,0,0,0,9,6,5,0,0,0,26,6,6,39,151,58,61,67,23,5,409,10,43,323,832,121,62,37,5,5,1426,0,3,119,338,71,56,34,11,4,637,3,3,191,573,76,47,35,10,8,949,5,14,176,1034,73,34,31,0,0,1371,4,14,272,1747,97,37,5,5,0,2181,0,4,20,254,50,48,24,12,6,412,32,83,233,690,144,98,62,30,5,1380,6,61,866,1093,337,274,176,58,22,2892,0,0,3,55,14,11,14,8,6,109,0,3,47,97,14,12,3,0,0,171,47,226,1272,6040,723,462,317,206,58,9349,294,438,2088,5495,906,712,522,248,154,10849,4354,5742,31487,76133,11740,9236,6589,3141,1188,149615
LGA24650,20,220,129,1028,141,79,46,9,4,1673,0,0,3,8,8,5,3,4,0,29,13,274,755,2253,1281,794,355,84,21,5829,0,0,4,103,68,92,98,21,13,403,4,79,119,291,186,104,65,15,0,864,0,8,10,66,48,125,118,67,25,479,4,58,48,94,55,44,26,5,0,333,0,21,59,184,81,71,25,15,7,453,9,90,171,729,422,219,124,44,10,1809,3,8,0,44,17,9,9,0,0,91,5,45,92,219,76,18,10,3,0,475,0,9,12,91,112,62,44,18,0,355,13,75,51,100,52,22,13,7,0,328,14,82,140,1393,704,451,160,45,17,3017,0,0,3,21,7,22,13,8,3,89,0,10,32,112,46,17,9,0,0,225,62,483,1053,3537,1771,1313,892,405,94,9601,608,1441,1080,2843,1029,753,504,272,74,8597,14460,29126,22684,58865,22490,15104,10748,4321,1154,178960
LGA24780,0,16,15,23,0,4,0,0,0,51,0,0,0,0,7,0,0,0,0,10,7,18,31,195,51,33,27,3,0,361,0,0,0,0,0,5,0,0,3,8,0,3,13,61,17,7,5,0,0,104,0,0,3,15,15,26,20,31,4,114,0,0,5,8,0,0,0,0,0,18,0,7,29,38,30,19,6,0,0,134,4,6,0,38,16,4,4,3,3,81,3,0,9,103,3,0,0,0,0,121,3,12,21,121,31,23,4,0,0,207,0,4,4,44,74,81,40,32,5,286,0,6,3,19,15,6,12,5,0,57,0,22,26,133,47,72,32,7,0,341,0,0,0,3,0,4,6,4,0,22,0,3,0,17,7,0,7,0,0,33,9,59,62,300,117,109,87,61,31,820,185,577,484,1178,577,662,547,351,171,4733,3260,7288,6455,14343,7076,7383,6137,3505,1526,56972
LGA24850,7,9,8,60,14,3,3,0,0,96,0,0,0,10,9,3,4,0,0,27,0,21,29,137,52,23,18,0,0,282,0,0,0,3,4,8,9,6,4,40,0,0,4,26,8,12,5,0,0,59,0,3,4,21,17,32,41,36,6,161,0,4,8,18,14,10,6,0,0,62,0,8,27,64,39,21,3,7,6,173,0,10,11,97,30,10,11,7,5,174,0,0,0,14,0,3,0,0,0,18,0,4,9,71,18,7,4,0,0,107,0,0,0,14,18,17,4,0,0,61,0,4,9,33,12,8,6,4,3,75,0,3,7,25,7,6,7,0,0,60,0,0,0,4,3,3,10,5,4,27,0,4,3,36,15,11,5,0,0,80,3,38,54,208,132,112,99,63,22,731,144,388,361,803,384,419,311,176,77,3072,3505,6821,5890,13553,6369,5923,4491,2186,730,49460
LGA24900,0,4,0,5,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,7,0,10,15,111,25,21,13,4,0,198,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,17,37,32,3,121,0,0,0,3,4,0,0,0,0,3,0,4,5,12,8,12,7,0,0,50,0,0,0,18,0,0,3,0,0,23,0,0,6,48,0,0,0,0,0,51,0,8,4,32,11,10,6,0,0,71,0,0,0,0,0,0,0,0,0,4,0,7,3,8,7,6,9,0,0,45,0,0,0,17,0,0,0,0,0,19,0,0,0,0,4,3,4,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,29,45,29,10,177,90,262,202,506,279,351,394,284,134,2494,1478,3570,2947,6095,3661,4402,4581,2735,1050,30522
LGA24970,6,87,148,492,76,39,14,4,0,866,0,0,10,10,19,8,6,0,0,52,16,75,155,815,228,193,123,29,6,1638,0,7,10,111,54,142,178,81,61,635,0,0,7,3,7,9,5,0,0,33,3,14,20,48,56,75,94,115,62,483,19,181,388,459,239,190,140,43,15,1675,0,63,116,273,201,134,123,55,16,979,27,323,975,2859,1123,947,760,368,129,7515,4,30,62,466,125,84,89,4,4,871,7,36,80,331,109,46,38,14,0,657,0,5,11,57,63,90,70,54,27,368,18,130,124,169,72,61,42,19,5,635,7,72,300,882,761,667,408,108,38,3248,0,4,4,14,11,17,12,19,10,86,0,0,37,63,21,10,14,3,0,150,40,304,637,1799,787,817,773,673,368,6192,253,616,1083,2432,738,598,556,610,501,7390,8458,21130,27264,55143,23735,19929,16273,12266,6204,190397
LGA25060,4,11,35,150,20,10,11,5,0,250,0,0,0,12,11,7,0,3,0,40,4,39,64,425,121,83,90,25,0,846,0,4,0,82,30,53,77,44,27,308,0,0,0,16,5,0,6,0,0,30,0,6,6,76,66,81,67,46,22,361,7,36,32,116,43,20,12,3,3,269,6,20,18,138,51,23,18,11,4,283,0,26,31,261,100,82,79,39,12,638,3,11,3,81,7,3,4,0,0,113,0,20,38,192,55,19,6,0,0,335,0,4,8,160,126,109,53,24,4,484,27,55,39,207,74,33,37,6,6,475,12,54,140,645,548,541,363,135,96,2522,0,0,0,21,6,10,13,0,6,54,0,0,7,44,12,5,4,0,0,76,19,193,313,2015,719,569,491,367,177,4860,205,403,429,1484,600,501,378,356,203,4555,6133,13433,14211,36024,16887,14095,10867,6913,3274,121851
LGA25150,0,6,0,28,8,3,0,0,0,40,0,0,0,5,5,0,3,0,0,12,0,15,10,65,37,15,11,4,0,150,0,0,3,10,13,3,7,3,0,41,0,4,0,5,0,8,0,0,0,21,0,3,7,29,33,46,62,43,14,238,0,14,0,8,15,3,0,4,0,41,0,3,7,32,20,9,14,0,3,101,0,5,4,47,9,4,4,4,0,74,0,0,0,3,0,0,0,0,0,3,0,5,4,13,3,0,5,0,0,28,0,0,0,4,0,0,0,0,0,3,0,12,9,33,17,16,13,3,0,104,0,0,3,29,7,12,10,0,0,60,0,0,0,9,8,7,7,7,4,42,0,0,10,20,9,10,0,0,0,44,6,14,13,139,110,103,105,76,25,593,102,229,180,477,289,273,247,150,50,1998,2370,5215,4071,9882,5068,4642,3898,1861,628,37632
LGA25250,42,263,322,1620,190,67,17,5,0,2529,0,0,5,31,24,12,0,0,0,77,11,57,112,731,175,145,104,42,4,1377,0,0,11,109,46,57,60,40,56,383,0,0,3,8,14,8,5,3,0,50,0,8,11,221,84,80,50,37,20,514,4,29,37,233,59,31,21,3,0,414,0,9,45,259,71,28,20,16,0,451,5,41,70,472,134,166,67,39,10,996,0,0,7,165,14,10,10,3,0,205,4,30,35,256,74,15,12,3,0,434,0,41,26,490,479,482,226,150,20,1912,18,68,93,634,128,68,39,20,4,1069,7,42,85,458,251,229,141,30,8,1252,0,0,9,39,19,12,5,10,0,89,0,0,14,76,10,10,0,0,0,112,48,273,326,2833,681,560,501,384,200,5803,349,628,757,2702,816,616,518,466,359,7203,9731,16772,19639,65787,20756,15806,10596,7581,4682,171357
LGA25340,0,0,0,7,4,7,5,7,3,28,0,0,0,25,30,31,14,0,0,100,4,36,53,249,86,60,48,11,4,551,0,0,0,60,19,32,79,32,14,246,0,3,0,3,5,4,0,0,0,18,0,28,64,143,217,302,381,303,116,1560,0,10,10,10,30,25,29,5,0,117,3,37,46,176,180,141,133,77,17,819,0,0,8,54,28,51,59,34,12,246,0,0,0,16,3,5,0,0,0,25,0,41,31,119,71,19,9,0,0,287,0,0,3,14,19,26,14,11,3,84,17,48,50,153,120,96,117,45,10,658,0,7,11,50,21,24,3,5,0,125,0,12,15,39,58,45,62,43,11,283,0,0,10,13,15,16,4,9,0,70,12,105,69,463,367,410,545,394,157,2525,335,945,790,1803,1299,1325,1457,1161,642,9756,7922,19591,17256,32386,22616,23203,24115,15833,6029,168948
