LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA25710,40,107,102,90,118,50,27,533,6,13,3,8,7,5,4,41,0,0,3,0,4,0,0,12,91,235,238,199,320,155,104,1334,0,4,4,0,6,0,5,21,5,7,4,5,3,0,4,24,4,10,10,7,9,3,4,46,91,243,241,208,321,160,106,1382,88,88,64,37,50,32,17,370,3,5,0,4,0,0,0,16,181,330,313,251,377,191,124,1767
LGA25810,17,37,32,21,22,11,4,140,3,0,5,0,4,0,0,18,0,0,0,0,0,0,0,0,33,56,42,39,48,13,4,240,0,4,5,0,0,0,0,9,3,4,0,0,0,0,0,9,3,7,5,0,0,0,0,17,38,69,50,39,54,13,4,260,50,65,23,16,14,5,0,171,0,5,0,4,0,0,0,9,85,128,73,58,63,14,0,436
LGA25900,85,150,96,72,99,74,38,618,17,12,13,10,6,11,8,76,12,12,5,8,3,3,0,42,203,379,284,250,310,207,107,1741,12,13,8,5,4,5,6,52,9,25,8,4,12,4,4,60,19,37,16,10,20,14,3,111,221,411,304,265,322,221,112,1857,99,137,103,65,85,71,35,600,5,3,0,0,4,0,0,10,321,554,411,325,406,291,148,2462
LGA25990,8,24,16,9,11,0,0,75,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,7,18,44,37,20,17,3,0,143,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,7,6,5,0,3,0,0,0,11,16,49,37,24,17,3,0,149,29,17,15,12,10,0,5,82,3,0,0,0,0,0,0,5,51,66,53,33,23,3,6,238
LGA26080,6,4,5,3,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,18,3,15,4,4,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,3,9,8,5,16,3,17,4,6,56,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,3,16,11,22,4,6,69
LGA26170,39,117,90,55,79,8,6,387,3,10,8,3,7,0,0,29,3,3,4,0,8,0,0,21,68,192,148,105,149,32,12,700,0,7,7,7,0,0,0,22,13,12,7,12,0,3,0,46,13,16,16,20,4,3,0,63,81,209,165,125,154,34,12,767,94,98,44,35,37,12,0,322,0,0,3,5,0,0,0,10,169,307,211,160,187,48,18,1097
LGA26260,35,57,51,33,35,5,0,220,9,10,5,3,0,0,0,33,0,0,0,0,0,0,0,0,47,105,82,66,85,14,4,403,0,0,0,0,0,0,0,3,0,3,6,4,0,0,0,15,0,3,6,8,0,0,0,20,49,109,86,73,86,15,4,426,47,55,23,20,16,5,0,176,6,4,4,0,0,0,0,11,104,170,114,92,108,21,4,611
LGA26350,67,141,97,85,115,89,59,650,18,10,7,5,10,9,0,63,4,6,7,5,0,3,0,27,171,315,260,210,322,242,145,1659,3,13,6,3,6,3,0,42,3,11,5,6,10,4,5,46,12,21,16,5,21,8,12,89,175,335,270,216,341,251,157,1750,80,117,103,81,124,99,75,671,0,4,4,0,3,0,0,13,264,451,375,299,464,350,232,2429
LGA26430,18,36,20,19,25,0,0,116,0,5,3,0,3,0,0,13,0,0,0,0,0,0,0,5,31,57,45,38,59,3,4,239,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,6,0,4,0,0,0,0,17,35,59,46,43,59,3,4,249,54,36,24,13,9,3,0,135,0,0,0,0,0,0,0,0,89,87,80,52,66,7,4,390
LGA26490,42,93,78,46,64,22,10,357,7,5,11,6,6,0,0,43,0,0,6,4,3,0,0,10,76,173,175,117,176,55,29,790,0,3,3,4,6,4,0,18,0,5,0,0,0,0,0,10,5,10,4,4,6,4,0,23,81,175,180,121,180,59,28,815,39,43,37,23,33,10,3,195,0,0,0,3,0,0,0,11,116,222,219,146,211,65,36,1017
LGA26610,47,71,45,44,39,11,0,262,12,8,4,0,5,0,0,31,0,0,0,0,0,0,0,5,74,145,97,76,84,31,4,510,0,4,8,0,4,0,0,14,0,11,0,3,0,0,0,15,3,8,7,3,3,0,0,28,79,154,107,81,88,27,6,540,101,105,66,57,38,8,0,374,0,0,0,3,0,0,0,5,179,266,170,134,123,35,6,918
LGA26670,8,13,12,8,11,4,0,53,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,15,26,23,21,25,3,0,109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26,25,21,29,3,0,111,8,13,4,12,0,0,0,39,0,0,0,0,0,0,0,0,25,42,35,26,26,7,0,157
LGA26700,70,106,106,63,65,14,4,424,10,12,9,3,3,3,0,40,3,7,6,0,3,0,0,21,116,211,189,140,158,40,10,863,4,9,11,7,0,0,0,27,7,9,6,6,3,0,0,31,7,16,16,13,7,0,0,52,118,230,206,152,162,40,10,922,103,111,68,29,46,6,3,365,0,0,0,3,0,0,0,5,227,335,272,185,212,45,13,1291
LGA26730,89,181,139,88,112,23,10,635,24,21,4,0,0,0,0,49,4,0,5,4,0,0,0,16,140,301,241,169,209,46,13,1123,3,11,0,5,4,0,0,23,4,11,9,3,7,0,0,28,7,16,14,9,11,0,0,59,154,321,254,178,218,46,15,1180,112,134,76,38,39,14,4,411,7,3,0,0,0,0,0,7,264,455,327,215,265,65,11,1600
LGA26810,87,165,93,81,98,18,6,546,13,18,14,10,7,0,0,66,0,9,8,5,8,0,0,25,137,271,201,183,194,42,15,1037,4,8,14,9,13,4,0,46,12,26,8,6,9,6,0,63,16,36,21,16,22,3,0,111,155,310,221,192,214,50,15,1151,173,183,101,69,65,20,12,619,3,4,5,5,0,0,0,13,333,490,326,271,276,65,22,1786
LGA26890,4,13,6,7,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,10,13,10,0,0,65,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,15,14,9,13,10,0,0,68,9,12,12,11,4,0,0,48,0,0,0,0,0,0,0,0,26,31,25,22,14,0,0,116
LGA26980,121,295,259,197,303,181,139,1503,20,23,13,14,20,14,8,113,0,7,7,3,3,4,8,31,267,637,553,451,743,525,347,3525,7,19,9,11,15,17,11,70,20,30,14,19,14,11,10,117,21,45,21,30,33,28,19,187,288,673,578,478,774,553,365,3714,197,275,189,184,278,196,123,1452,3,5,5,7,0,0,0,20,490,956,780,667,1049,754,486,5185
LGA27070,310,629,488,373,486,213,107,2599,60,69,40,28,44,13,9,268,15,29,17,7,14,5,3,86,603,1259,987,745,1105,525,298,5523,32,56,43,31,34,27,12,233,43,92,38,23,39,13,3,262,75,151,85,56,70,42,13,492,676,1408,1073,798,1182,568,318,6013,764,947,559,405,472,234,110,3478,31,33,19,16,3,6,3,94,1465,2380,1644,1218,1654,799,424,9588
LGA27170,133,221,147,93,123,20,10,752,16,18,9,5,6,6,0,60,4,10,10,7,0,0,0,39,203,441,307,193,263,70,26,1504,8,16,3,4,9,3,0,46,14,17,12,6,4,4,0,57,21,34,15,8,11,9,0,99,229,474,321,202,273,78,26,1604,238,267,157,91,113,24,4,902,0,3,3,9,8,0,0,19,462,750,482,301,391,107,33,2525
LGA27260,462,774,511,371,477,193,106,2891,89,119,72,53,64,32,14,445,32,57,39,17,26,14,3,190,969,1837,1290,915,1270,586,310,7171,68,124,63,45,59,19,26,404,96,151,74,63,53,16,13,456,169,275,135,108,109,32,35,868,1132,2111,1428,1025,1378,618,344,8033,1241,1287,663,491,569,236,144,4628,51,55,28,23,17,3,5,177,2426,3453,2118,1538,1957,857,486,12845
LGA27350,64,121,93,55,70,56,27,478,9,13,11,7,8,7,6,54,3,3,9,4,3,4,0,17,135,288,223,156,178,161,80,1213,9,10,15,10,14,7,0,61,12,17,9,3,5,9,6,65,21,32,26,14,20,14,5,129,154,317,252,172,201,172,78,1345,192,207,129,83,119,66,44,840,11,6,7,0,6,0,3,37,365,534,389,253,324,235,125,2216
LGA27450,212,488,367,268,363,125,66,1892,36,37,34,34,36,16,15,215,10,19,16,5,23,3,3,78,353,824,721,574,838,330,188,3827,7,22,14,15,13,8,3,74,16,22,20,20,15,5,0,93,18,44,38,30,30,13,3,172,378,869,757,606,863,341,186,3999,349,423,249,164,186,76,25,1468,7,4,6,9,3,0,0,28,732,1297,1012,773,1055,415,212,5499
LGA27630,9,26,21,14,16,4,0,94,5,0,3,0,3,0,0,11,0,0,0,0,0,0,0,4,11,37,31,28,34,5,0,152,5,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,5,0,0,0,5,0,0,9,12,37,39,33,37,5,0,162,25,32,24,16,12,4,0,115,0,0,0,0,0,0,0,0,39,72,57,45,51,4,5,278
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
