UCL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL215039,4,5,9,4,0,4,3,5,7,9,20,27,10,73,85,10,41,44,54,6,66,36,27,67,33,10,48,29,8,42,14,8,22,30,3,31,36,8,44,30,0,32,11,0,10,3,0,3,20,3,22,19,0,19,13,17,24,367,241,614
UCL215040,0,11,10,0,3,4,5,10,14,0,13,18,10,56,66,17,36,46,39,16,55,26,21,47,35,24,55,19,11,31,19,12,33,25,6,32,37,3,38,24,0,24,17,0,17,7,0,7,14,0,11,20,0,25,8,16,23,316,233,553
UCL215041,6,17,19,3,8,10,3,24,28,6,46,46,31,168,198,21,87,109,100,47,149,89,53,138,88,54,144,89,29,125,63,30,88,58,15,68,105,11,115,67,0,64,42,0,42,23,0,25,32,9,41,55,4,56,31,47,76,905,652,1557
UCL215042,4,9,8,0,3,3,0,6,8,0,10,10,3,16,19,3,12,15,19,3,24,16,13,24,22,20,41,28,3,36,17,4,22,17,4,29,60,5,67,38,7,43,22,0,22,19,0,19,33,0,33,30,0,25,4,3,12,340,114,450
UCL215043,7,8,17,5,5,10,0,7,11,4,21,24,7,47,57,9,33,44,50,28,71,31,20,57,53,33,83,55,30,89,59,14,76,60,8,76,176,10,187,124,0,125,77,0,77,32,0,37,50,0,50,42,4,47,18,14,27,875,287,1157
UCL215044,0,3,5,0,4,3,0,10,8,0,10,14,7,45,52,7,21,31,46,13,56,39,13,55,27,19,44,47,7,55,39,14,48,33,8,43,70,5,69,51,0,51,31,0,33,19,0,19,21,0,24,32,0,32,11,0,11,481,170,652
UCL215045,7,16,26,5,4,9,5,20,28,6,49,58,29,134,164,29,78,107,87,32,123,79,69,150,86,44,127,117,29,145,69,11,81,71,6,79,133,16,144,63,3,69,53,9,64,25,0,25,49,0,51,63,11,69,18,40,53,1002,572,1575
UCL215046,3,8,13,4,0,9,4,0,9,3,10,19,8,24,31,14,18,29,32,15,46,15,17,31,27,16,42,42,13,58,34,6,38,38,7,44,80,13,91,41,3,44,38,5,44,25,0,25,41,5,40,31,0,34,8,9,18,480,162,649
UCL215047,4,9,13,0,5,4,5,9,11,5,12,14,14,41,51,7,9,20,34,5,42,31,11,41,30,16,46,38,14,46,41,6,52,55,3,60,112,4,118,92,0,96,40,6,45,24,0,24,22,0,22,37,0,39,7,12,16,606,151,757
UCL215048,5,4,5,0,0,0,0,7,7,3,15,15,10,34,48,19,19,36,41,13,57,34,31,69,24,27,50,36,25,63,45,9,52,46,3,50,89,12,97,53,0,53,17,0,23,9,0,9,19,0,19,25,4,25,16,3,17,491,205,698
UCL215049,4,0,6,0,0,0,0,5,7,0,12,12,3,19,22,4,14,20,16,23,35,20,20,45,16,17,35,23,14,38,12,13,32,20,4,22,22,13,34,22,3,23,21,3,27,13,0,12,53,14,67,20,3,26,0,3,5,279,195,476
UCL215050,9,7,16,8,0,5,4,7,17,0,7,7,8,29,36,9,17,24,23,12,31,28,23,48,35,26,54,49,12,60,34,10,41,36,12,47,66,8,80,65,0,67,73,3,77,57,0,60,243,20,258,54,0,54,4,8,10,810,201,1008
UCL215051,14,22,34,3,8,12,9,34,43,12,61,73,28,147,179,44,77,117,114,37,146,89,66,155,81,55,139,120,34,148,67,25,93,90,21,115,165,23,191,103,6,102,51,3,56,32,0,35,69,5,80,87,8,96,20,29,45,1202,643,1848
UCL215052,0,10,10,3,3,5,6,12,14,3,15,14,11,81,87,5,48,56,35,30,59,30,18,53,41,22,65,44,12,59,24,6,29,29,11,33,42,4,50,29,0,28,21,4,18,16,0,16,23,7,34,26,0,28,7,10,18,383,296,677
UCL215053,7,18,25,8,8,20,4,15,21,5,31,47,22,120,137,26,67,92,80,40,117,65,61,127,89,57,144,85,31,118,61,17,80,78,22,99,150,21,175,88,3,89,61,3,65,40,0,40,71,8,76,75,6,85,11,26,40,1031,577,1603
UCL215054,3,12,12,6,0,11,0,13,19,3,28,34,18,65,76,22,36,64,41,23,63,42,29,67,44,35,78,44,8,54,47,11,62,41,4,40,69,5,71,41,0,41,23,0,23,7,0,7,11,3,13,35,6,37,10,23,33,503,304,805
UCL215055,8,4,11,4,5,7,7,5,6,6,15,16,14,37,52,16,20,33,52,13,64,41,21,64,57,16,68,64,18,81,17,12,37,40,6,45,43,6,49,31,0,29,18,0,18,9,0,9,42,6,47,29,0,31,4,7,8,495,188,686
UCL215056,7,10,12,0,3,3,3,7,12,9,20,23,10,54,58,5,19,31,34,18,45,27,23,54,32,30,60,55,22,74,32,10,44,40,8,46,47,3,54,30,0,30,13,0,15,3,0,3,4,0,4,37,6,36,5,5,19,388,238,630
UCL215057,3,7,9,0,6,3,3,13,18,5,14,22,10,52,61,11,23,37,41,17,59,33,13,53,41,19,55,36,14,46,17,11,27,36,6,39,57,11,67,48,0,50,30,0,33,12,0,12,38,0,40,29,0,32,4,15,16,449,228,675
UCL215058,4,7,9,0,3,3,0,10,11,0,14,15,11,58,69,10,28,40,42,13,58,34,17,47,29,16,43,29,8,39,19,5,25,16,7,20,38,8,38,12,0,15,11,0,11,6,0,6,15,3,15,20,0,16,0,15,17,293,205,495
UCL215059,4,15,21,8,6,13,0,14,14,0,19,21,7,68,81,13,54,59,55,31,85,50,29,76,40,23,67,63,20,87,34,10,46,35,12,52,85,20,105,46,0,43,38,0,47,21,3,27,42,0,40,45,0,45,10,10,16,592,350,944
UCL215060,7,9,17,3,4,9,4,3,7,12,33,43,16,107,129,22,46,74,82,39,121,61,51,118,63,37,99,72,20,93,47,9,57,58,6,65,104,13,117,67,5,65,49,0,47,17,0,17,30,9,35,29,0,34,13,25,39,776,414,1191
UCL215061,7,14,19,3,6,11,0,17,15,0,21,26,12,70,84,21,51,70,54,25,82,46,30,68,44,35,80,44,19,59,25,11,38,32,6,38,69,10,80,35,0,33,43,4,43,15,0,15,39,0,39,35,0,36,12,21,33,522,347,869
UCL215062,0,11,10,0,0,3,0,8,8,0,23,19,13,76,86,6,28,33,38,24,59,38,21,54,33,26,61,33,13,49,19,7,30,22,3,27,63,5,66,36,0,38,17,3,20,5,0,5,26,5,27,19,0,20,3,18,25,370,282,652
UCL215063,0,6,5,4,4,6,0,5,3,6,0,6,6,18,24,4,13,21,20,7,31,27,11,35,23,15,38,37,0,37,18,9,26,18,6,20,31,7,37,28,0,28,15,0,15,15,0,15,25,6,25,9,0,9,3,4,9,292,107,399
UCL215064,5,6,15,0,3,7,3,12,13,4,15,17,7,65,82,10,36,47,49,19,67,36,24,54,41,37,70,48,12,62,24,18,46,34,7,40,76,12,94,41,3,42,28,0,27,8,0,8,27,10,33,31,3,39,15,8,28,486,303,788
UCL215065,8,12,21,3,7,13,7,20,24,5,45,51,31,151,180,21,90,114,101,59,157,82,58,144,103,51,154,105,32,135,77,11,89,61,8,69,103,12,113,74,3,79,45,3,48,27,0,27,41,13,51,62,4,63,19,31,56,968,621,1589
UCL215066,11,17,29,0,10,10,6,21,24,0,40,37,12,136,143,17,48,64,73,28,98,59,26,88,48,28,76,44,9,55,23,6,30,23,5,28,34,3,37,22,0,22,10,0,10,3,0,3,14,4,15,45,7,53,18,19,38,475,406,881
UCL215067,0,4,6,0,7,5,0,9,7,0,15,21,6,47,52,10,12,26,26,12,42,14,17,28,22,13,36,18,11,32,11,9,23,10,6,20,36,8,48,25,0,24,12,0,12,3,0,3,7,0,11,18,0,13,14,13,25,249,187,431
UCL215068,21,6,28,12,17,25,3,10,13,4,30,38,26,149,171,28,108,137,147,52,203,107,54,165,106,40,147,108,25,131,52,18,67,58,12,71,89,14,106,68,0,68,40,4,48,22,0,22,52,15,66,51,3,56,29,35,62,1036,600,1632
UCL215069,3,8,10,7,13,17,3,18,20,3,32,41,23,83,98,15,54,68,59,37,98,63,45,108,55,41,94,89,19,108,49,26,74,67,15,86,118,21,135,86,0,90,53,8,55,41,0,41,111,6,118,48,3,56,20,21,34,903,437,1344
UCL215070,6,12,24,3,3,8,6,16,23,4,31,31,15,101,117,18,57,76,74,34,109,59,41,104,72,27,99,76,18,95,62,19,74,56,9,64,90,7,98,51,3,54,30,0,30,7,0,12,28,4,32,56,0,62,20,30,51,744,415,1162
UCL215071,4,6,16,5,5,6,0,8,14,8,12,17,10,29,45,15,21,41,38,24,63,49,20,71,58,13,70,58,11,67,58,18,81,49,12,63,117,21,142,107,5,111,111,3,111,74,0,74,179,10,184,61,4,63,10,6,13,1012,233,1248
UCL215072,14,12,31,0,5,3,4,12,13,4,25,31,5,40,50,12,23,35,33,13,44,39,15,54,42,17,60,35,15,51,30,4,34,24,11,35,52,13,66,29,5,34,22,4,29,16,7,19,27,7,35,33,9,47,9,19,30,444,253,699
UCL215073,9,10,25,7,8,10,4,23,27,6,35,37,19,115,138,27,74,96,83,30,108,68,30,95,63,32,94,65,22,94,39,17,48,45,10,55,89,8,96,63,0,63,44,0,50,21,4,24,22,3,26,44,0,49,18,29,51,731,456,1185
UCL215074,13,16,25,4,0,6,6,7,13,8,17,30,13,74,86,22,22,41,65,22,87,64,30,90,78,25,104,92,40,130,82,21,102,84,8,89,206,24,230,164,3,165,156,6,167,95,0,95,169,10,174,66,6,72,12,16,24,1382,344,1729
UCL215075,0,3,7,0,0,0,0,7,4,0,11,8,10,29,46,10,22,30,41,8,48,26,16,42,29,18,49,32,6,42,24,0,21,21,5,25,45,9,54,17,4,16,18,0,18,10,0,10,18,0,18,19,3,23,9,20,30,329,171,502
UCL215076,4,16,22,0,4,7,0,10,10,3,23,23,10,70,83,12,34,39,54,27,81,42,33,79,62,26,86,54,23,80,36,10,41,42,6,47,100,8,109,71,0,69,37,4,38,19,0,19,37,0,36,43,0,43,11,22,34,634,323,951
UCL215077,14,7,15,3,9,9,8,3,8,0,13,13,11,39,50,14,24,35,28,14,44,32,21,54,38,19,58,42,18,64,16,10,27,32,9,45,48,14,64,38,0,38,32,0,28,22,0,22,41,3,48,29,0,29,8,10,18,452,217,670
UCL215078,4,3,8,5,0,6,4,4,3,0,8,8,3,12,18,4,9,13,15,5,23,11,14,28,34,11,41,31,3,34,28,9,40,42,3,48,96,16,113,88,0,88,48,0,45,27,0,27,46,0,46,38,0,40,10,5,14,536,108,647
UCL215079,4,14,21,3,5,9,6,18,23,9,27,33,16,146,162,17,56,77,58,26,83,46,27,72,60,30,93,65,22,86,29,7,35,28,7,38,46,10,56,42,0,37,17,3,20,8,0,8,29,0,29,29,0,31,12,39,51,526,453,969
UCL215080,9,16,24,0,6,6,0,10,12,4,15,16,12,50,60,13,23,37,49,15,62,39,30,65,47,24,71,65,35,97,44,13,60,48,6,51,96,6,103,46,3,51,34,0,40,21,0,21,26,0,25,44,7,50,10,9,20,612,260,871
UCL215081,8,25,26,5,11,12,7,18,23,5,49,58,20,115,133,23,58,89,99,43,134,78,42,122,83,48,138,96,46,140,67,21,88,86,18,104,146,24,167,124,0,128,69,7,70,43,3,49,83,9,93,61,0,60,16,12,31,1120,553,1673
UCL215082,5,4,10,3,0,0,0,4,4,3,6,11,5,12,20,11,9,20,24,4,29,23,13,37,23,9,30,30,9,40,31,0,39,39,4,43,97,11,105,72,0,75,76,3,77,33,0,33,68,0,69,49,0,44,8,0,8,607,91,693
UCL215083,3,10,10,5,0,5,0,12,14,0,23,25,23,72,97,13,32,40,46,27,70,58,32,90,41,36,72,48,20,60,36,17,48,35,10,37,78,13,90,44,0,40,31,0,33,19,0,19,21,0,24,42,0,39,13,21,32,535,310,843
UCL215084,3,5,8,5,0,3,0,6,9,5,11,13,11,45,54,8,23,31,27,18,44,28,21,46,27,23,50,33,13,50,21,0,25,26,3,26,45,3,49,26,0,25,14,0,20,0,0,5,10,3,13,29,0,27,3,15,18,324,196,522
UCL215085,0,3,8,0,0,0,0,4,9,0,4,4,10,9,21,6,6,8,15,3,20,10,6,14,18,10,22,15,0,22,17,3,19,24,6,25,39,3,44,40,0,40,25,0,33,22,0,22,28,0,28,24,0,26,11,0,14,314,77,381
UCL215086,4,8,8,6,3,7,10,17,26,4,34,37,12,86,101,16,64,85,78,28,109,74,43,107,80,47,132,82,21,102,51,22,76,76,13,91,136,32,168,97,5,103,78,6,81,61,0,62,74,8,79,54,7,52,14,24,38,1021,460,1474
UCL215087,8,7,12,0,4,4,0,5,5,0,4,4,0,17,21,8,3,9,27,10,35,11,5,21,30,13,42,32,9,37,28,9,39,29,0,29,91,4,93,54,0,57,35,3,36,35,0,35,43,4,42,33,0,33,3,0,7,457,92,549
UCL215088,6,19,20,0,4,4,6,16,20,8,26,34,15,53,69,13,43,59,38,34,72,31,22,51,46,35,73,53,19,74,37,13,47,34,10,39,58,16,70,35,0,35,26,0,26,13,0,13,27,5,33,27,3,33,4,9,20,458,311,767
UCL215089,3,10,9,0,5,8,4,15,17,8,30,35,19,96,118,16,54,77,59,31,87,42,28,73,51,31,89,39,25,64,34,15,51,41,7,51,80,7,83,45,6,46,28,0,28,11,0,11,21,6,31,36,3,38,13,28,42,555,415,971
UCL215090,6,14,11,3,3,4,4,7,9,4,18,15,4,48,54,16,32,47,51,9,58,36,22,62,37,21,57,41,35,69,46,14,56,34,7,38,93,9,102,48,0,48,28,0,31,21,0,21,38,0,37,40,4,41,13,16,31,549,255,806
UCL215091,0,5,6,9,3,7,0,0,3,0,0,4,0,3,3,0,3,6,11,0,11,5,3,10,9,5,13,30,5,34,21,0,20,16,0,16,40,0,40,41,0,41,37,0,33,33,0,33,155,5,161,28,0,28,6,0,3,438,41,478
UCL215092,27,15,41,9,13,18,8,14,23,0,22,24,24,73,98,27,55,80,61,40,103,67,36,99,72,27,104,82,28,107,66,36,105,52,22,78,150,26,179,108,0,113,122,12,137,92,0,92,268,24,294,73,9,79,10,17,23,1311,473,1777
UCL215093,5,15,22,0,4,5,3,10,13,4,29,33,20,80,100,22,41,61,67,16,87,65,41,103,76,47,120,104,26,127,96,16,111,84,20,102,196,22,218,132,3,141,103,3,102,31,0,31,65,3,74,68,5,74,14,13,27,1154,377,1536
UCL215094,4,0,6,0,0,3,6,3,6,0,6,5,8,12,24,7,7,19,17,7,26,11,11,25,31,8,32,24,8,29,12,5,18,16,0,18,27,7,37,22,0,22,11,0,19,10,0,10,44,0,44,22,0,23,4,0,5,285,82,368
UCL215095,0,3,0,0,3,0,0,4,5,0,22,19,0,45,46,7,13,17,19,14,33,32,22,53,25,13,38,25,4,31,20,7,23,24,9,31,41,5,41,27,0,23,18,3,21,8,0,8,14,0,12,22,0,22,6,5,16,286,164,451
UCL215096,4,12,13,4,3,7,6,3,6,0,6,6,10,30,34,14,15,24,30,19,54,32,20,55,54,22,74,59,16,73,51,12,62,51,9,59,80,14,95,80,0,80,54,0,52,39,0,39,82,3,84,43,0,46,13,11,22,682,195,874
UCL215097,11,12,18,4,7,9,4,6,8,4,25,28,16,98,116,12,44,54,63,20,80,55,35,93,58,26,86,75,26,99,50,16,66,58,5,61,127,5,131,83,0,86,50,0,50,28,0,34,52,0,61,64,6,66,19,17,32,827,340,1173
UCL215098,3,5,9,3,0,4,0,3,3,4,17,20,14,41,54,14,24,36,33,13,48,33,12,42,36,15,47,30,10,31,32,8,37,26,3,25,46,5,53,34,0,34,30,0,34,13,0,13,33,4,39,14,0,14,9,13,21,389,181,568
UCL215099,7,14,19,7,4,11,6,9,17,5,27,28,15,109,120,10,45,60,68,22,92,48,31,81,34,17,58,39,8,53,29,6,40,27,10,39,39,13,48,12,0,16,11,0,9,9,0,9,8,5,14,32,0,32,10,19,30,424,343,768
UCL215100,7,5,11,3,3,9,0,8,12,3,25,26,9,55,69,12,32,46,36,19,58,22,21,47,32,22,53,25,12,40,14,15,35,19,4,33,28,11,35,25,0,25,11,0,9,6,0,6,12,0,16,24,0,24,7,15,26,310,257,565
UCL221001,6,0,3,0,0,0,3,0,5,0,0,3,0,10,14,0,6,8,6,3,10,11,10,19,9,4,13,26,5,34,9,4,11,12,0,14,31,6,37,25,0,22,10,0,10,11,0,11,15,0,15,18,0,19,0,0,0,200,48,253
UCL221002,0,5,7,0,0,0,5,0,4,3,8,10,6,24,30,5,24,28,14,8,24,16,7,31,18,7,23,27,3,35,22,8,29,10,7,18,27,5,29,27,0,27,22,0,22,7,0,7,23,0,22,16,0,16,0,0,0,247,116,360
UCL221003,0,0,0,0,0,0,0,0,0,0,3,3,0,10,9,3,0,3,6,5,15,8,8,18,9,7,16,10,6,19,15,7,21,20,0,20,35,0,35,19,0,18,5,0,5,0,0,0,0,0,0,10,0,10,3,0,3,146,54,200
UCL221004,4,5,0,0,5,5,0,0,0,0,0,4,0,5,10,4,3,6,4,0,4,7,3,9,16,0,16,15,4,13,12,0,10,9,0,13,32,4,40,37,0,37,40,0,38,12,0,12,87,3,93,20,0,18,4,3,5,298,36,332
UCL221005,4,4,4,0,0,3,0,6,11,0,10,9,4,21,22,3,12,15,9,5,18,15,13,26,19,6,27,11,3,17,8,7,14,12,6,14,13,7,20,26,0,22,5,0,5,5,0,5,12,0,15,17,0,17,4,12,14,167,110,282
UCL221006,3,3,3,0,0,0,0,6,6,0,3,3,0,16,14,8,11,16,8,8,15,13,10,20,4,15,16,17,7,19,10,0,13,20,7,29,27,3,33,14,0,14,15,0,15,8,0,8,11,0,11,10,3,15,0,4,6,170,85,249
UCL221007,6,4,4,3,0,5,4,6,7,0,11,11,5,22,27,9,7,8,5,0,11,10,9,19,13,10,17,13,4,15,11,3,14,3,0,5,22,7,24,7,0,7,5,0,5,0,0,0,5,0,11,11,0,17,0,3,8,133,92,216
UCL221008,0,3,6,0,0,5,0,6,6,5,11,14,8,26,31,6,16,17,22,15,35,20,17,35,10,7,18,22,3,26,10,0,11,17,3,14,16,0,20,14,0,15,8,0,8,7,0,7,8,5,9,13,0,13,0,4,7,176,118,298
UCL221009,0,4,0,3,0,3,0,3,4,0,5,6,3,16,22,8,10,14,9,7,16,10,6,18,18,11,25,19,4,23,12,11,14,10,0,10,20,0,23,18,0,15,9,0,9,6,0,6,0,0,8,9,0,9,4,0,9,166,74,236
UCL221010,0,5,5,0,0,0,0,0,0,0,7,11,0,21,26,4,3,13,10,0,13,12,6,20,16,14,30,21,0,23,12,3,16,11,0,11,17,0,16,15,0,15,11,0,11,4,0,4,7,0,3,17,0,17,5,0,3,157,72,229
UCL221011,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,5,7,0,4,5,3,12,8,0,8,14,3,21,13,3,19,11,3,10,19,3,22,24,3,21,19,0,19,16,0,16,21,0,21,10,0,10,4,0,4,172,28,199
UCL221012,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,3,5,0,8,9,3,16,10,0,10,6,0,6,6,0,6,15,0,18,13,0,12,20,0,20,16,0,16,20,0,23,14,0,14,5,0,4,137,21,155
UCL221013,3,0,3,0,0,0,0,3,3,0,4,4,0,11,13,8,3,9,6,8,6,7,10,13,7,5,12,20,9,25,7,6,15,18,5,21,24,0,23,16,0,17,12,0,12,8,0,8,10,0,10,11,4,18,3,3,3,159,62,221
UCL221014,5,16,21,0,3,6,0,7,5,0,8,7,7,28,28,4,15,19,14,13,23,21,13,36,25,14,40,35,5,38,17,6,20,19,0,19,33,13,46,19,0,19,7,3,12,16,0,16,21,0,22,28,4,32,4,3,6,261,150,411
UCL221015,0,0,3,0,0,0,0,0,0,0,0,8,5,0,9,0,0,0,3,4,6,6,4,13,8,4,13,3,4,10,5,3,8,11,0,11,20,4,26,12,0,12,7,0,14,10,0,10,26,7,35,6,0,6,0,0,0,145,37,184
UCL221016,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,0,4,3,15,0,11,3,3,8,16,3,16,16,3,21,11,0,15,17,0,17,48,0,53,39,0,39,22,0,22,9,0,9,26,0,26,19,0,19,0,4,4,246,29,276
UCL221017,3,0,3,0,3,7,0,12,13,0,4,3,10,33,37,0,22,29,28,5,29,20,8,27,28,9,33,21,0,21,13,4,12,15,7,24,36,3,39,15,0,14,18,0,18,0,0,0,7,0,7,17,0,17,3,9,13,245,120,367
UCL221018,3,9,15,4,0,8,0,4,3,0,16,17,8,50,56,10,22,31,32,16,45,30,16,48,30,23,47,21,5,34,9,7,19,11,3,17,26,4,27,21,0,21,15,0,13,3,0,7,9,0,9,23,0,22,5,7,18,255,190,443
UCL221019,3,4,10,0,0,3,0,7,5,4,17,23,3,52,58,7,15,24,27,7,31,27,15,46,30,13,43,27,8,34,13,3,14,17,9,27,26,13,39,20,0,20,7,0,7,0,0,0,9,0,15,15,0,15,6,7,11,248,177,419
UCL221020,4,6,13,4,4,4,5,10,11,0,19,19,4,56,64,8,26,31,33,14,46,25,18,36,7,16,28,23,9,27,16,3,19,18,4,26,19,0,17,14,0,14,7,0,7,5,0,5,8,0,8,18,0,18,11,14,19,211,206,413
UCL221021,0,0,3,0,0,0,0,4,4,0,8,7,4,24,23,9,6,14,18,4,23,17,7,22,10,14,25,25,0,27,18,5,25,16,3,21,27,4,35,18,0,17,7,0,11,0,0,3,12,0,8,10,6,18,3,3,9,198,100,302
UCL221022,0,0,0,0,3,3,5,4,7,0,4,4,0,16,16,4,8,9,12,12,21,14,12,17,12,10,26,7,4,15,6,0,10,9,0,6,23,0,18,14,0,15,8,0,8,7,0,7,13,3,13,12,0,12,0,8,12,138,85,231
UCL221023,0,4,4,0,3,6,3,15,18,4,13,16,5,52,56,3,24,30,32,8,34,21,10,33,18,6,26,14,0,13,10,7,10,0,5,10,15,0,13,12,0,12,3,0,3,0,0,0,0,0,0,15,3,15,7,10,19,166,159,327
UCL221024,10,3,13,0,3,6,0,4,4,0,10,12,9,24,27,3,12,10,34,9,41,24,13,39,34,13,47,29,12,36,22,12,31,23,0,27,33,7,37,18,0,18,21,0,21,6,0,6,14,4,19,12,0,18,9,4,13,296,121,424
UCL221025,0,12,12,6,5,8,0,10,10,0,15,15,5,45,50,0,17,20,26,7,28,18,12,32,12,8,14,12,4,20,15,6,20,10,0,8,14,3,24,10,0,12,5,0,7,5,0,5,14,4,12,15,0,15,8,11,18,160,166,332
UCL221026,0,7,8,4,9,4,0,3,8,0,16,16,8,34,43,5,22,29,22,10,36,10,18,31,23,9,35,13,3,20,9,5,8,6,5,12,18,7,26,7,0,7,3,0,5,11,0,6,6,3,4,12,3,14,3,9,10,163,170,331
UCL221027,0,3,7,0,0,0,3,3,3,0,14,13,8,33,49,5,19,26,24,11,33,22,18,39,11,9,25,27,0,30,13,3,12,14,0,17,13,0,19,10,0,10,4,0,4,3,0,3,11,0,11,11,0,11,5,8,10,186,130,317
UCL221028,0,7,10,0,5,5,0,0,0,4,0,8,8,7,15,5,3,9,10,4,17,9,4,16,9,9,17,13,7,24,11,0,17,12,7,24,17,10,34,21,0,24,17,0,20,8,0,8,58,5,61,12,0,11,5,3,3,223,89,315
UCL221029,0,0,4,0,0,0,0,0,0,0,0,6,4,6,11,0,0,3,8,0,9,9,5,18,12,7,15,13,4,13,7,3,10,9,3,12,24,4,28,27,0,27,21,0,19,14,0,14,29,0,29,19,4,21,3,3,6,198,45,246
UCL221030,5,7,14,0,0,7,6,3,7,5,19,26,6,43,51,4,14,17,21,10,32,11,8,25,11,6,14,13,3,19,5,0,11,4,5,13,13,5,15,3,0,3,0,0,0,6,0,6,4,0,8,3,0,3,3,4,9,141,130,267
UCL221031,3,0,5,0,0,0,0,4,8,0,3,3,0,6,7,4,4,4,6,0,6,7,7,9,6,3,9,12,5,14,9,3,14,12,0,12,25,0,28,27,0,27,15,0,15,7,0,7,25,0,25,5,0,5,0,0,5,164,43,203
UCL221032,4,7,9,0,0,4,0,6,6,0,3,3,0,12,14,0,0,7,10,4,14,15,8,19,19,10,25,9,6,15,16,5,19,9,0,11,15,0,23,12,0,12,18,0,13,3,0,3,7,0,11,13,0,13,3,0,4,157,68,220
UCL221033,0,3,3,0,3,3,0,4,4,0,9,9,4,30,33,6,10,15,14,0,16,18,5,22,14,11,22,17,0,23,6,5,16,14,7,18,8,6,15,14,0,14,6,0,6,0,0,0,3,0,3,7,0,7,0,7,7,138,105,244
UCL221034,4,0,3,0,0,0,0,0,0,0,3,3,0,0,6,0,4,4,0,0,4,4,0,9,6,5,15,18,3,19,12,0,12,11,0,11,25,0,26,30,0,30,31,0,31,16,0,16,48,0,50,15,0,15,0,0,0,240,19,254
UCL221035,0,3,3,0,3,7,0,7,7,0,11,9,8,42,46,7,10,22,27,10,40,14,19,32,22,7,28,22,0,21,13,9,19,10,5,7,17,0,17,10,0,10,6,0,6,0,0,0,9,0,5,13,0,14,5,11,15,183,138,317
UCL221036,3,5,4,4,0,4,3,0,3,0,4,4,6,10,17,0,3,9,7,9,10,7,0,12,14,8,17,12,3,16,12,6,16,25,0,25,21,4,20,23,0,23,17,0,17,18,0,18,23,0,25,9,0,9,4,0,3,215,49,263
UCL221037,0,0,0,0,0,0,4,0,3,0,7,5,9,43,54,8,12,23,13,5,20,22,13,38,20,15,33,17,9,23,20,6,26,11,3,13,20,4,25,22,0,22,9,0,7,8,0,8,5,0,8,8,0,8,0,4,9,183,135,317
UCL221038,0,3,3,3,0,3,0,0,3,0,0,4,0,11,11,3,3,9,11,5,8,3,5,10,17,4,19,10,0,10,18,7,26,17,4,15,31,0,33,23,0,23,31,0,31,11,0,11,23,0,29,24,0,24,10,3,12,234,48,288
UCL221039,3,0,8,0,0,0,0,6,7,0,7,7,4,17,18,3,8,11,11,10,21,15,7,18,12,11,21,24,7,25,12,3,12,13,0,18,31,4,37,20,0,20,15,0,15,7,0,7,9,0,10,16,0,16,4,4,11,198,81,280
UCL221040,3,6,9,0,0,0,0,3,3,0,9,9,4,8,16,9,16,23,26,16,40,10,12,23,13,8,23,20,0,22,12,3,17,11,5,15,29,3,27,13,0,13,12,0,12,4,0,4,7,0,7,10,0,9,4,4,9,186,90,275
UCL221041,0,0,0,0,4,7,0,0,0,0,0,0,0,5,0,0,10,7,6,7,19,9,0,12,18,5,15,12,3,15,9,0,12,13,5,19,28,3,32,27,0,27,14,0,14,4,0,4,10,0,10,7,0,7,4,0,6,181,39,214
