CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED231,8477,13809,3547,417,26255,6327,911,33489,1489,1207,594,85,3369,2500,304,6177,2191,2398,855,131,5573,2055,530,8151,3682,3599,1446,211,8941,4553,829,14327,806,424,292,65,1587,1878,222,3684,572,208,247,50,1073,1785,197,3056,1194,304,213,68,1770,2354,257,4383,181,125,231,40,580,678,58,1313,3,3,0,0,5,15,0,23,2754,1057,975,227,5016,6711,731,12466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,10,4,68,68,20,154,21,24,10,4,68,68,20,154,6,5,6,0,19,23,0,44,14945,18502,5992,857,40298,17682,2494,60475
CED232,12896,22562,5588,355,41394,7361,739,49499,616,328,283,15,1241,1085,43,2362,143,159,146,14,464,190,19,673,757,479,430,29,1706,1272,63,3036,28,22,25,0,77,71,9,157,9,12,18,0,35,35,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,14,10,0,28,50,34,39,5,127,121,14,257,7,0,0,0,5,18,6,29,6,0,0,0,8,9,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,9,8,0,0,20,33,6,54,13,18,4,0,31,17,0,47,13723,23100,6061,390,43273,8801,814,52897
CED233,1569,1667,441,81,3761,1080,739,5587,3228,2052,616,174,6068,2793,1667,10525,2994,2100,657,174,5921,2367,1820,10112,6220,4150,1271,350,11989,5157,3486,20637,1193,379,195,62,1833,2214,544,4586,1731,533,394,102,2763,3820,754,7340,4131,1010,524,263,5930,7281,1653,14865,9602,2622,1804,1127,15163,17876,5275,38312,9,9,0,0,24,12,8,36,16670,4551,2924,1557,25710,31204,8229,65139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,142,52,25,4,222,161,91,475,142,52,25,4,223,162,90,478,40,16,7,5,62,134,30,229,24644,10435,4666,2007,41748,37735,12582,92069
CED234,11764,19245,4376,463,35838,7054,1017,43910,1305,1177,578,65,3129,2166,208,5502,1425,2333,780,82,4619,967,203,5786,2724,3512,1361,152,7745,3127,410,11286,421,379,174,27,1005,756,71,1833,248,109,81,22,457,447,28,939,591,245,189,37,1058,926,89,2071,662,230,207,38,1137,859,137,2129,5,8,6,0,19,10,0,29,1931,966,653,124,3673,2998,329,6998,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,3,0,16,6,0,4,0,9,3,0,19,9,10,9,0,32,22,0,56,16433,23742,6397,735,47307,13207,1761,62272
CED235,17243,14124,5610,417,37382,13859,1162,52400,425,92,207,17,747,1890,59,2697,117,67,41,5,219,161,12,391,541,157,244,24,966,2049,68,3092,173,48,85,11,316,807,31,1156,10,0,0,0,10,20,0,27,4,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,4,0,0,0,3,19,0,21,187,50,87,11,332,851,31,1211,16,5,0,0,22,90,4,111,113,5,16,3,141,289,3,435,0,0,0,0,3,0,0,7,19,10,4,0,32,20,3,57,151,16,27,3,199,394,12,605,23,16,8,0,48,43,0,92,18144,14362,5973,446,38932,17196,1276,57402
CED236,16826,15433,6400,474,39128,13562,1466,54153,768,299,358,49,1475,2962,150,4585,49,19,19,3,86,76,13,174,816,321,373,56,1553,3035,162,4758,15,8,5,0,30,74,0,108,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,11,6,0,19,26,13,5,3,47,92,0,142,70,11,18,5,96,231,7,337,88,8,22,6,114,213,13,345,11,0,0,0,14,5,5,17,72,24,3,4,104,168,7,277,235,46,41,8,329,620,30,977,21,23,5,0,51,47,4,101,17920,15833,6827,542,41116,17352,1668,60137
CED237,10706,21316,6386,627,39036,7775,1234,48044,761,933,414,56,2157,1222,116,3492,754,951,485,83,2278,886,206,3370,1517,1884,904,138,4434,2104,321,6862,200,246,130,24,600,436,64,1097,60,26,34,4,122,229,11,364,122,33,33,6,197,290,34,518,0,0,0,0,0,0,0,0,3,7,0,0,12,11,0,22,387,308,198,44,933,959,107,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,15,4,0,16,9,3,0,0,15,3,0,18,3,4,4,0,16,15,0,35,12619,23522,7496,806,44435,10858,1667,56962
CED238,17927,14703,5558,533,38730,15302,1449,55477,491,182,251,42,965,2236,95,3301,154,69,72,6,295,244,24,559,641,248,319,49,1263,2483,117,3864,115,40,56,6,221,569,34,821,12,0,6,0,22,50,0,67,4,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,18,135,46,64,10,258,624,32,913,25,13,0,0,37,71,3,112,41,8,14,0,54,103,10,168,11,6,0,0,12,14,0,25,29,24,11,4,67,34,4,110,101,51,18,4,174,224,19,416,31,23,3,0,60,49,9,109,18841,15068,5971,593,40472,18676,1627,60779
CED239,8086,12348,3562,539,24527,6960,2332,33821,1667,1159,573,100,3500,2783,610,6898,3069,2561,888,215,6738,2583,1089,10403,4742,3719,1461,315,10236,5366,1696,17298,882,394,246,69,1593,2399,371,4362,425,108,66,21,617,822,167,1606,1182,269,161,59,1672,2272,333,4274,159,28,16,13,220,363,71,654,0,17,3,0,25,14,0,41,2650,813,503,162,4133,5864,944,10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,39,20,3,128,84,64,269,62,39,20,3,128,84,64,269,12,14,3,3,37,33,3,71,15553,16930,5551,1024,39060,18302,5040,62402
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
