CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED231,173,3763,157,4092,267,4388,223,4882,715,10435,655,11811,1121,9332,496,10951,1688,7972,457,10114,1663,6289,368,8317,993,5199,250,6444,506,3216,247,3965,161,1244,119,1526,7288,51833,2972,62097,182,3460,142,3790,377,4101,215,4692,1005,10512,635,12153,1706,9359,505,11574,2692,7575,425,10688,2614,6111,326,9057,1501,5706,315,7522,648,3929,315,4889,105,2052,167,2332,10834,52810,3051,66690,356,7223,304,7886,640,8488,444,9572,1721,20948,1293,23961,2827,18693,997,22522,4383,15546,879,20803,4279,12397,697,17371,2494,10905,563,13963,1155,7142,555,8855,267,3294,289,3856,18122,104636,6019,128786
CED232,255,4744,316,5316,241,4008,234,4479,658,8623,518,9796,1195,9943,569,11704,1422,8533,493,10448,1361,6794,443,8598,894,5118,350,6364,351,2554,229,3138,74,527,74,679,6453,50846,3230,60522,265,4405,289,4956,333,3524,181,4030,1185,9000,548,10739,1971,9803,563,12340,2571,8099,474,11141,2360,6229,419,9004,1287,5331,337,6954,377,2471,221,3069,48,901,123,1076,10387,49764,3157,63308,521,9153,607,10275,569,7529,415,8507,1837,17627,1066,20536,3162,19747,1134,24045,3997,16628,968,21585,3722,13027,860,17607,2179,10445,692,13314,727,5018,455,6201,122,1432,198,1750,16836,100605,6388,123834
CED233,131,3064,258,3449,402,11478,1047,12923,1294,29459,2595,33351,1122,13918,1361,16397,1171,7133,760,9062,1080,5480,586,7144,555,3937,351,4835,241,1928,185,2358,67,607,72,751,6060,76996,7211,90270,154,3860,311,4326,556,13411,1087,15054,1635,29907,2435,33977,1355,12356,1066,14783,1659,6644,606,8916,1639,5024,488,7154,953,4051,369,5380,320,2215,192,2731,62,1101,96,1255,8338,78578,6656,93572,283,6923,570,7776,957,24893,2127,27976,2926,59370,5036,67326,2478,26271,2429,31175,2833,13776,1366,17975,2720,10505,1073,14302,1503,7990,720,10215,563,4144,381,5089,128,1709,170,2004,14398,155574,13865,183844
CED234,236,4931,172,5343,318,5153,217,5683,638,9069,510,10218,1150,9468,429,11052,1938,8852,413,11196,1940,7802,305,10045,1095,6331,264,7694,724,4677,260,5658,281,1906,205,2391,8324,58187,2779,69291,221,4452,143,4818,372,4515,197,5085,798,9091,500,10392,1777,9967,455,12194,2927,8912,378,12220,2943,7860,337,11134,1694,7094,312,9097,879,5650,370,6895,200,2852,327,3383,11801,60392,3019,75208,457,9383,319,10157,696,9665,412,10771,1438,18163,1010,20607,2924,19440,884,23247,4861,17758,795,23420,4881,15664,641,21181,2783,13427,581,16789,1601,10324,631,12559,486,4762,533,5775,20123,118576,5798,144504
CED235,169,3342,346,3852,233,2827,228,3287,563,6351,495,7410,891,6092,600,7582,1210,6677,606,8496,1692,7880,671,10239,1362,8438,706,10509,689,4372,512,5567,148,1225,246,1618,6969,47199,4403,58569,257,3206,333,3798,283,2612,193,3084,965,6544,573,8088,1509,6071,599,8175,2181,6483,566,9232,2855,7760,657,11269,1847,8329,720,10893,723,4497,591,5811,102,1958,317,2375,10725,47458,4536,62717,428,6550,677,7650,523,5432,419,6375,1534,12899,1070,15497,2403,12160,1200,15754,3398,13160,1170,17726,4545,15638,1322,21510,3208,16769,1428,21404,1410,8868,1099,11374,246,3179,563,3987,17693,94656,8939,121284
CED236,217,4203,493,4919,280,3659,376,4317,653,7505,892,9049,939,6779,780,8498,1399,7641,832,9868,1605,8334,832,10768,1192,7918,764,9871,631,4483,596,5707,143,1391,246,1784,7047,51917,5809,64777,276,3609,414,4293,338,3330,312,3977,1104,7455,751,9310,1653,6649,719,9023,2410,6970,701,10082,2611,7722,736,11072,1793,7407,709,9904,664,4550,671,5888,112,2129,454,2694,10969,49820,5456,66241,493,7810,908,9207,616,6990,683,8291,1756,14961,1644,18361,2593,13427,1497,17517,3809,14614,1528,19953,4215,16051,1571,21840,2985,15326,1467,19778,1298,9034,1265,11593,250,3524,706,4479,18013,101735,11264,131014
CED237,212,4484,298,4988,348,5201,413,5961,911,11486,883,13284,1383,11175,734,13294,1476,8305,525,10304,1390,6942,408,8739,835,5275,318,6427,450,2713,261,3422,131,864,166,1160,7147,56432,4013,67589,266,4102,248,4611,422,4631,307,5358,1291,11117,752,13158,2049,10426,652,13132,2479,7652,470,10603,2259,6864,381,9501,1228,5604,369,7206,435,3233,358,4030,68,1371,323,1762,10492,55006,3854,69353,477,8585,547,9602,768,9830,722,11325,2206,22607,1632,26442,3433,21602,1386,26426,3959,15957,995,20910,3651,13803,781,18236,2066,10879,687,13637,885,5947,619,7448,203,2234,491,2925,17636,111443,7869,136944
CED238,199,3848,441,4488,201,3210,308,3713,589,7053,838,8478,882,6490,849,8215,1359,7415,907,9679,1860,8496,841,11192,1309,8507,836,10653,582,4270,554,5409,150,1317,242,1708,7122,50597,5812,63535,244,3482,385,4123,287,2854,214,3364,961,6785,535,8280,1514,6441,602,8556,2338,7078,600,10016,3055,7997,663,11711,1818,7986,689,10494,705,4643,577,5927,121,2294,425,2849,11048,49559,4704,65309,443,7336,828,8601,490,6062,525,7078,1550,13839,1374,16759,2394,12930,1449,16776,3698,14493,1511,19697,4915,16489,1503,22905,3131,16490,1527,21143,1285,8908,1130,11334,264,3614,675,4556,18175,100159,10513,128845
CED239,195,2997,174,3359,298,5158,361,5821,971,14847,1012,16831,1237,11216,681,13140,1626,7292,452,9371,1369,5401,327,7099,655,3612,257,4524,370,2348,236,2957,192,1346,171,1711,6914,54215,3676,64803,212,2824,154,3197,389,5150,304,5846,1397,15129,913,17440,1777,10776,559,13111,2588,6658,387,9634,2131,5141,291,7560,1018,4057,261,5333,542,3299,285,4127,138,2330,312,2776,10198,55360,3471,69028,401,5818,331,6556,686,10317,670,11671,2366,29972,1928,34271,3020,21991,1239,26247,4218,13950,839,19003,3499,10543,617,14656,1670,7666,524,9855,910,5648,524,7085,333,3669,483,4486,17114,109577,7144,133834
CED294,6,130,97,234,26,199,127,345,46,506,391,939,56,422,524,1008,81,366,467,912,57,290,295,644,36,225,132,392,5,61,30,90,0,4,6,15,316,2202,2062,4576,12,127,91,229,34,195,92,321,79,485,310,878,82,304,346,730,81,220,181,479,79,229,118,429,23,133,62,224,5,47,7,58,0,13,9,19,394,1754,1219,3373,22,255,187,459,56,392,215,671,128,991,698,1819,136,731,871,1736,157,586,645,1393,139,520,416,1074,60,353,199,613,12,102,37,152,6,17,13,29,714,3955,3282,7946
CED297,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
