CED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED232,508,4502,310,5316,393,3860,225,4479,698,8619,483,9796,1382,9807,515,11704,1628,8359,459,10448,1211,6961,427,8598,1140,4901,320,6364,542,2379,218,3138,64,544,79,679,7565,49926,3036,60522,644,4019,297,4956,495,3373,168,4030,918,9296,527,10739,1901,9909,527,12340,1925,8745,475,11141,1396,7203,409,9004,1261,5383,309,6954,524,2337,198,3069,59,896,117,1076,9120,51161,3024,63308,1152,8520,601,10275,884,7228,391,8507,1619,17913,1006,20536,3282,19713,1048,24045,3546,17102,937,21585,2607,14169,838,17607,2406,10284,632,13314,1065,4715,415,6201,123,1437,191,1750,16685,101083,6060,123834
CED233,466,2723,257,3449,1980,9928,1018,12923,3806,27019,2532,33351,1932,13150,1315,16397,1414,6894,754,9062,1236,5333,580,7144,979,3507,342,4835,406,1769,188,2358,57,618,72,751,12276,70939,7056,90270,828,3187,314,4326,3104,10886,1064,15054,4652,26962,2367,33977,2227,11535,1021,14783,1662,6657,597,8916,1358,5311,481,7154,1202,3831,348,5380,467,2078,187,2731,73,1083,97,1255,15569,71525,6476,93572,1299,5907,571,7776,5082,20814,2082,27976,8451,53979,4891,67326,4160,24687,2331,31175,3075,13554,1351,17975,2595,10641,1066,14302,2185,7340,691,10215,870,3840,377,5089,128,1706,170,2004,27842,142464,13534,183844
CED234,633,4552,161,5343,728,4760,196,5683,853,8886,472,10218,1377,9271,405,11052,1809,9007,383,11196,1353,8401,286,10045,1203,6239,250,7694,876,4540,250,5658,142,2066,184,2391,8974,57719,2592,69291,767,3911,134,4818,933,3964,189,5085,1162,8769,465,10392,1978,9792,425,12194,2161,9686,363,12220,1562,9251,321,11134,1424,7372,292,9097,971,5586,336,6895,177,2900,306,3383,11142,61236,2829,75208,1403,8460,287,10157,1659,8722,393,10771,2016,17653,937,20607,3354,19064,827,23247,3972,18694,751,23420,2911,17657,613,21181,2630,13614,548,16789,1847,10127,584,12559,322,4962,488,5775,20119,118958,5421,144504
CED235,422,3111,328,3852,318,2758,216,3287,742,6186,482,7410,1179,5843,564,7582,1501,6395,594,8496,1733,7857,648,10239,2385,7451,671,10509,1132,3948,488,5567,187,1203,227,1618,9599,44747,4217,58569,512,2966,313,3798,390,2511,182,3084,988,6554,546,8088,1651,5942,581,8175,1833,6852,548,9232,2240,8376,654,11269,2691,7484,724,10893,1236,4021,552,5811,193,1882,296,2375,11739,46589,4391,62717,936,6075,642,7650,709,5273,397,6375,1730,12738,1029,15497,2832,11779,1145,15754,3335,13248,1140,17726,3973,16235,1302,21510,5075,14936,1394,21404,2372,7968,1038,11374,381,3079,526,3987,21336,91337,8614,121284
CED236,604,3842,478,4919,391,3558,355,4317,920,7272,858,9049,1277,6468,747,8498,1596,7477,807,9868,1705,8263,801,10768,2032,7106,733,9871,1067,4090,544,5707,175,1372,234,1784,9781,49449,5545,64777,634,3278,381,4293,474,3212,293,3977,1053,7528,732,9310,1578,6751,691,9023,1825,7595,662,10082,1877,8487,709,11072,2230,6994,680,9904,1132,4129,624,5888,190,2095,410,2694,10978,50083,5181,66241,1235,7118,859,9207,870,6769,652,8291,1973,14802,1589,18361,2855,13223,1437,17517,3415,15070,1466,19953,3583,16754,1502,21840,4261,14103,1407,19778,2201,8225,1164,11593,362,3470,651,4479,20759,99528,10726,131014
CED237,345,4372,280,4988,407,5181,384,5961,764,11672,845,13284,940,11682,673,13294,729,9080,498,10304,486,7894,366,8739,474,5688,274,6427,191,2982,253,3422,28,984,151,1160,4351,59527,3714,67589,361,4006,241,4611,582,4491,282,5358,922,11538,702,13158,1204,11315,607,13132,789,9391,423,10603,572,8560,365,9501,513,6348,343,7206,200,3493,336,4030,28,1420,310,1762,5172,60567,3617,69353,709,8380,516,9602,981,9668,671,11325,1687,23207,1548,26442,2144,23001,1282,26426,1522,18466,921,20910,1055,16451,731,18236,982,12041,613,13637,395,6471,586,7448,56,2409,463,2925,9519,120091,7331,136944
CED238,662,3389,433,4488,462,2956,290,3713,1104,6557,821,8478,1605,5772,840,8215,2143,6657,883,9679,2501,7859,826,11192,2811,7024,821,10653,1302,3595,516,5409,193,1293,230,1708,12776,45092,5662,63535,687,3069,366,4123,496,2643,218,3364,1215,6538,532,8280,2060,5919,579,8556,2377,7037,602,10016,2697,8368,648,11711,2986,6827,678,10494,1356,4015,549,5927,224,2209,409,2849,14105,46620,4584,65309,1351,6452,800,8601,957,5599,511,7078,2316,13089,1352,16759,3665,11689,1419,16776,4515,13694,1487,19697,5200,16227,1476,22905,5796,13848,1501,21143,2659,7605,1060,11334,419,3499,643,4556,26880,91711,10249,128845
CED239,294,2900,167,3359,627,4857,341,5821,1726,14152,952,16831,1525,10961,646,13140,1284,7662,417,9371,798,5992,302,7099,547,3735,240,4524,221,2521,221,2957,67,1484,162,1711,7094,54264,3449,64803,397,2657,148,3197,1063,4500,288,5846,2445,14115,881,17440,2086,10489,542,13111,1553,7715,366,9634,952,6324,286,7560,679,4415,244,5333,255,3590,274,4127,69,2398,305,2776,9495,56202,3332,69028,687,5557,310,6556,1693,9352,625,11671,4166,28264,1831,34271,3609,21447,1186,26247,2839,15382,791,19003,1749,12320,589,14656,1228,8143,484,9855,479,6111,495,7085,135,3884,471,4486,16585,110464,6784,133834
CED294,22,115,93,234,33,188,124,345,58,492,391,939,68,419,521,1008,61,388,467,912,59,299,287,644,34,231,134,392,11,52,26,90,0,4,11,15,334,2193,2047,4576,20,126,84,229,41,193,97,321,90,478,309,878,59,324,345,730,49,251,181,479,52,265,118,429,20,134,65,224,6,46,9,58,0,10,11,19,337,1822,1215,3373,41,242,178,459,68,378,219,671,144,970,698,1819,124,742,873,1736,112,637,647,1393,110,565,404,1074,51,361,194,613,15,99,38,152,0,18,14,29,665,4015,3265,7946
CED297,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
