CED_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED225,52,4286,132,4476,465,9271,321,10065,183,4469,170,4822,119,4305,177,4603,221,8747,366,9331,217,10186,384,10785,294,10044,315,10654,414,8565,307,9282,545,6884,248,7668,708,3369,172,4249,665,712,92,1467,3881,70837,2693,77412,38,4111,123,4270,249,9213,297,9756,122,4096,124,4341,84,3991,135,4212,181,9093,345,9618,189,10929,367,11482,296,10705,335,11333,442,9582,284,10305,700,7710,293,8707,1118,3710,183,5018,1407,848,152,2403,4824,73998,2634,81452,94,8403,258,8750,717,18485,619,19820,307,8566,295,9163,208,8300,313,8816,404,17836,714,18952,401,21114,748,22268,584,20757,654,21990,853,18148,587,19590,1242,14593,544,16381,1831,7078,358,9268,2070,1551,245,3870,8706,144834,5329,158869
CED226,46,3044,116,3209,280,9255,319,9857,90,5622,159,5870,80,5816,188,6089,125,9781,412,10321,100,8783,318,9190,169,10035,346,10554,223,9046,315,9586,352,6706,243,7299,663,3417,180,4256,806,923,90,1821,2928,72425,2689,78044,22,2977,102,3095,153,9080,260,9492,76,5409,175,5657,84,5692,198,5977,146,10020,381,10543,119,10233,334,10684,185,11818,361,12363,301,9907,312,10519,478,7702,283,8461,1025,4088,233,5347,1855,1140,182,3168,4435,78062,2811,85306,62,6020,219,6299,431,18335,578,19347,163,11035,335,11534,172,11515,387,12067,271,19803,791,20867,212,19013,648,19873,350,21855,712,22915,519,18956,623,20099,828,14404,522,15755,1688,7505,411,9605,2655,2058,273,4987,7365,150491,5501,163354
CED227,130,6349,318,6804,817,11860,691,13370,209,5060,273,5536,139,4712,264,5115,179,11604,626,12406,205,12417,605,13221,231,9553,494,10272,325,6905,325,7559,459,4566,256,5278,538,2280,164,2977,336,412,63,809,3561,75709,4081,83354,81,6090,336,6513,345,11941,658,12951,152,4650,257,5061,81,4659,220,4964,211,12769,684,13663,247,12653,582,13482,356,9786,473,10612,455,7228,367,8044,594,5291,276,6162,754,2444,197,3402,661,478,130,1271,3939,77988,4186,86111,210,12444,662,13317,1166,23801,1354,26323,361,9709,531,10598,222,9368,488,10078,391,24374,1311,26068,457,25072,1185,26702,583,19344,962,20885,777,14123,695,15597,1054,9856,529,11444,1298,4720,368,6381,995,892,190,2079,7500,153703,8272,169469
CED228,166,8186,678,9037,990,13970,1110,16071,300,5204,365,5868,195,6360,486,7043,263,15725,1217,17204,280,17436,1075,18796,346,9775,592,10709,484,7206,411,8100,673,4397,269,5335,582,1545,140,2270,285,212,70,566,4553,90019,6424,100992,107,7743,609,8459,467,13888,1046,15399,162,4933,331,5420,124,5563,400,6088,279,17254,1222,18757,354,16290,989,17623,522,9502,552,10575,662,7656,369,8693,827,4621,271,5721,799,1593,160,2555,639,269,126,1038,4926,89320,6085,100333,276,15932,1293,17497,1453,27857,2160,31471,457,10133,693,11294,320,11923,891,13134,532,32976,2442,35954,633,33727,2064,36421,864,19275,1147,21287,1145,14865,779,16791,1490,9021,542,11050,1378,3140,303,4825,920,481,195,1603,9484,179334,12506,201323
CED229,36,3376,177,3594,202,5847,310,6357,57,2701,141,2896,76,4969,323,5371,141,18215,1288,19644,158,13183,892,14237,213,9621,705,10536,318,7675,550,8543,403,5658,457,6516,527,2513,273,3311,496,465,142,1101,2623,74231,5257,82107,28,3250,203,3474,108,5766,339,6213,56,2791,144,2989,78,5564,358,5998,181,19504,1276,20964,187,13205,896,14287,259,10076,595,10935,308,8001,491,8802,520,5998,398,6911,799,2551,299,3650,941,559,258,1757,3465,77257,5249,85969,64,6625,383,7075,305,11617,650,12568,114,5486,280,5881,158,10529,678,11363,321,37720,2568,40606,348,26389,1788,28521,471,19696,1301,21470,632,15674,1042,17343,922,11657,853,13427,1328,5068,568,6958,1433,1023,402,2862,6091,151489,10503,168080
CED230,82,4010,306,4399,709,8657,904,10268,245,4056,399,4701,191,3802,344,4333,286,8620,781,9688,302,7646,767,8713,469,8618,823,9910,779,10417,938,12130,1085,9039,851,10974,1045,4541,511,6099,787,1069,264,2129,5981,70476,6877,83340,45,4071,325,4440,341,8463,814,9623,146,3785,351,4283,111,3507,283,3902,234,8919,722,9873,288,8049,751,9092,540,9145,728,10412,860,10455,781,12097,1057,8884,705,10641,1337,4731,527,6596,1628,1288,418,3339,6591,71309,6405,84301,125,8080,628,8831,1047,17119,1725,19893,391,7843,747,8984,304,7307,628,8235,518,17539,1501,19562,591,15695,1522,17807,1013,17765,1551,20319,1638,20875,1716,24230,2141,17919,1553,21612,2381,9274,1038,12696,2419,2363,683,5466,12568,141786,13285,167639
CED231,56,3878,180,4107,377,7832,325,8541,153,3800,147,4092,93,4587,204,4882,179,11019,608,11811,167,10329,461,10951,248,9440,426,10114,380,7585,342,8317,612,5606,222,6444,954,2830,183,3965,837,609,81,1526,4056,67513,3182,74746,37,3638,169,3840,175,7642,313,8130,66,3592,132,3790,79,4429,182,4692,184,11399,570,12153,178,10901,491,11574,263,10026,402,10688,482,8266,307,9057,839,6413,272,7522,1617,3052,222,4889,1551,668,108,2332,5463,70021,3176,78659,88,7513,349,7953,553,15473,642,16672,211,7394,280,7886,169,9016,387,9572,360,22414,1182,23961,344,21225,954,22522,506,19465,828,20803,861,15858,653,17371,1450,12026,489,13963,2573,5875,404,8855,2389,1277,187,3856,9517,137533,6357,153408
CED232,96,5682,247,6024,787,11187,568,12544,223,4850,244,5316,133,4130,212,4479,202,9131,466,9796,203,11006,503,11704,242,9734,472,10448,347,7840,420,8598,512,5541,311,6364,529,2411,193,3138,310,322,51,679,3576,71823,3692,79087,78,5322,232,5637,390,10878,590,11859,153,4557,249,4956,79,3792,154,4030,170,10084,486,10739,248,11592,502,12340,337,10350,451,11141,432,8183,390,9004,609,6038,306,6954,669,2238,160,3069,662,344,68,1076,3827,73385,3598,80801,171,11004,481,11657,1175,22064,1162,24400,373,9403,497,10275,216,7928,365,8507,371,19212,954,20536,443,22598,1003,24045,577,20079,927,21585,779,16018,815,17607,1126,11576,617,13314,1197,4647,355,6201,971,662,114,1750,7402,145206,7284,159894
CED233,38,3013,196,3252,152,4377,358,4892,59,3157,235,3449,74,11880,973,12923,188,30767,2392,33351,204,14928,1260,16397,212,8120,722,9062,346,6220,583,7144,373,4136,325,4835,475,1714,169,2358,362,315,65,751,2500,88621,7288,98410,11,2942,239,3189,81,4364,350,4797,50,3984,288,4326,111,13922,1014,15054,295,31400,2287,33977,176,13579,1019,14783,252,8068,596,8916,362,6330,470,7154,530,4509,337,5380,755,1829,148,2731,828,338,90,1255,3453,91271,6838,101559,54,5955,433,6437,229,8742,712,9687,106,7138,526,7776,189,25801,1986,27976,487,62168,4673,67326,388,28508,2277,31175,460,16190,1325,17975,704,12544,1052,14302,910,8645,662,10215,1230,3537,319,5089,1191,656,155,2004,5956,179889,14123,199964
CED234,45,3883,134,4056,464,9723,304,10500,164,5027,156,5343,111,5383,193,5683,137,9687,391,10218,149,10523,374,11052,218,10605,379,11196,336,9410,297,10045,539,6884,265,7694,989,4454,219,5658,1096,1129,170,2391,4259,76701,2884,83846,32,3789,170,3994,199,9320,280,9805,93,4603,120,4818,84,4826,175,5085,139,9845,408,10392,168,11605,425,12194,254,11589,373,12220,461,10354,323,11134,821,7994,282,9097,1715,4890,290,6895,1967,1163,247,3383,5944,79981,3085,89005,83,7671,301,8048,668,19048,590,20298,260,9626,277,10157,201,10214,363,10771,275,19531,801,20607,320,22124,800,23247,474,22194,749,23420,797,19765,626,21181,1360,14879,549,16789,2703,9343,508,12559,3067,2294,418,5775,10197,156685,5968,172855
CED235,74,3559,257,3894,629,7728,644,9007,220,3407,230,3852,142,2954,198,3287,269,6664,476,7410,230,6775,580,7582,335,7588,568,8496,587,9019,633,10239,838,9051,622,10509,901,4320,351,5567,686,778,156,1618,4907,61834,4719,71468,60,3445,271,3774,292,7481,624,8395,165,3404,229,3798,106,2816,163,3084,225,7327,537,8088,290,7304,576,8175,446,8256,535,9232,673,9940,651,11269,969,9318,613,10893,1135,4288,387,5811,1259,938,177,2375,5608,64527,4756,74883,130,7003,528,7667,922,15208,1267,17399,383,6810,456,7650,246,5773,358,6375,489,13994,1011,15497,521,14080,1157,15754,780,15842,1101,17726,1255,18960,1289,21510,1803,18372,1229,21404,2032,8605,739,11374,1948,1714,332,3987,10513,126361,9472,146349
CED236,78,4057,331,4467,733,8704,823,10260,244,4276,392,4919,190,3778,347,4317,278,7967,802,9049,303,7479,720,8498,451,8634,786,9868,760,9241,768,10768,966,8233,676,9871,1032,4202,468,5707,699,909,178,1784,5734,67481,6296,79509,63,3780,296,4142,344,8520,755,9620,135,3856,299,4293,116,3586,280,3977,232,8381,699,9310,306,8022,690,9023,535,8911,629,10082,723,9652,696,11072,939,8352,608,9904,1245,4184,457,5888,1321,1045,331,2694,5955,68302,5742,80000,138,7840,631,8608,1080,17220,1579,19881,385,8130,696,9207,302,7368,626,8291,508,16346,1500,18361,613,15501,1409,17517,983,17548,1416,19953,1481,18892,1468,21840,1901,16589,1284,19778,2283,8387,924,11593,2020,1958,504,4479,11690,135778,12038,159507
CED237,109,5404,311,5818,575,10322,593,11490,180,4566,245,4988,161,5474,329,5961,243,12329,712,13284,291,12422,582,13294,487,9340,480,10304,717,7675,354,8739,946,5215,262,6427,1030,2166,226,3422,628,399,134,1160,5365,75302,4231,84897,51,5044,308,5400,275,9936,535,10743,112,4291,211,4611,95,4999,269,5358,207,12331,613,13158,308,12253,572,13132,551,9661,391,10603,913,8247,335,9501,1309,5614,282,7206,1573,2165,289,4030,1127,350,285,1762,6510,74891,4101,85498,155,10452,617,11216,853,20254,1134,22237,291,8856,455,9602,254,10471,595,11325,453,24661,1326,26442,595,24676,1152,26426,1040,18999,866,20910,1629,15922,692,18236,2253,10831,544,13637,2607,4323,521,7448,1756,747,418,2925,11875,150190,8327,170399
CED238,59,3599,295,3960,565,8122,671,9351,216,3944,326,4488,148,3292,275,3713,268,7427,777,8478,252,7120,850,8215,395,8401,887,9679,612,9772,809,11192,816,9071,763,10653,860,4147,407,5409,669,880,164,1708,4845,65772,6225,76844,36,3446,240,3728,294,7779,606,8680,145,3699,272,4123,94,3061,206,3364,233,7556,496,8280,250,7719,584,8556,419,9004,596,10016,663,10427,615,11711,805,9095,590,10494,1074,4457,394,5927,1444,1107,288,2849,5456,67362,4886,77714,92,7049,543,7683,856,15899,1275,18029,361,7643,597,8601,240,6352,475,7078,502,14988,1273,16759,502,14841,1428,16776,813,17408,1477,19697,1271,20204,1430,22905,1624,18166,1356,21143,1933,8601,797,11334,2116,1983,459,4556,10305,133140,11115,154555
CED239,50,4344,211,4604,388,7059,369,7815,138,3071,151,3359,99,5423,299,5821,202,15769,855,16831,223,12317,598,13140,323,8628,421,9371,439,6343,312,7099,587,3718,211,4524,899,1882,180,2957,1009,572,129,1711,4359,69127,3736,77216,22,4191,213,4432,202,7031,409,7639,66,2980,147,3197,112,5501,241,5846,306,16316,825,17440,237,12362,514,13111,365,8911,360,9634,524,6746,287,7560,832,4269,231,5333,1658,2252,213,4127,1833,721,228,2776,6152,71282,3664,81096,75,8535,423,9031,583,14094,772,15455,206,6056,292,6556,212,10923,539,11671,503,32085,1680,34271,461,24676,1113,26247,684,17541,776,19003,961,13088,602,14656,1422,7984,450,9855,2558,4131,392,7085,2836,1291,354,4486,10504,140406,7402,158319
CED294,6,129,88,222,37,179,152,370,15,129,87,234,20,214,120,345,24,527,382,939,42,449,519,1008,63,397,458,912,46,315,283,644,21,232,134,392,12,61,25,90,4,3,8,15,287,2640,2243,5170,3,117,66,189,21,192,146,361,9,139,83,229,9,223,96,321,33,548,301,878,48,342,337,730,58,238,185,479,33,285,112,429,15,142,61,224,14,45,5,58,7,9,8,19,252,2271,1398,3915,11,247,154,414,59,373,301,730,27,267,173,459,27,431,208,671,59,1075,684,1819,90,791,858,1736,116,638,637,1393,78,599,397,1074,38,380,194,613,25,102,27,152,9,10,11,29,536,4909,3641,9089
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
