CED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED223,2468,2618,6403,7153,8134,7509,2197,303,37,36829,1520,512,1306,1434,1547,3728,7822,5078,2208,25148,281,267,532,542,641,671,620,552,331,4438,4273,3398,8246,9130,10324,11910,10640,5933,2575,66422,1164,2989,7898,8538,9962,8020,2088,359,22,41055,2815,1864,3786,4393,4591,5424,2614,446,58,25987,487,245,822,611,666,981,392,70,12,4296,151,156,294,238,273,220,128,71,18,1539,4618,5255,12794,13784,15493,14646,5225,947,113,72871,117,176,272,215,255,247,47,0,0,1334,308,108,147,122,134,215,69,8,3,1114,423,283,420,335,385,467,119,5,5,2441,5047,5539,13215,14121,15878,15109,5341,951,111,75316,3304,937,1995,2232,2734,6526,14704,9590,3611,45640,567,581,1071,1119,1270,1390,1353,986,517,8845,8916,7052,16281,17472,19886,23021,21401,11529,4247,129805
CED224,2434,3357,8188,10071,9959,6286,1556,130,6,41986,1944,640,1423,1912,1883,3252,5962,4464,2380,23854,108,116,417,399,306,261,308,317,230,2459,4478,4115,10021,12380,12143,9793,7836,4912,2620,68297,442,2648,11293,13393,13309,7894,1452,87,5,50521,3008,3265,3662,5379,5239,4210,1762,249,12,26790,375,366,887,834,555,558,249,40,3,3864,40,102,279,261,186,110,42,20,12,1050,3866,6378,16117,19863,19289,12772,3509,393,33,82227,79,217,427,359,401,292,61,3,0,1840,718,261,191,180,196,197,72,11,3,1817,798,475,617,529,598,484,129,12,3,3661,4662,6863,16733,20394,19892,13259,3642,410,31,85883,4223,1360,2147,2658,2880,5192,10344,7889,3733,40433,222,262,859,796,625,548,592,541,356,4805,9111,8485,19743,23851,23399,19002,14574,8841,4126,131118
CED225,2336,3509,8127,9470,9355,6771,1785,162,11,41519,1918,578,1168,1684,1694,3289,6633,4624,2201,23792,93,128,321,327,289,245,289,230,190,2111,4341,4212,9618,11482,11333,10305,8707,5018,2403,67424,443,2631,10721,12221,12285,7831,1636,112,9,47888,2830,3514,3818,5397,5314,4746,2083,314,18,28047,452,503,990,852,492,688,314,45,3,4334,24,115,187,181,148,91,54,16,9,831,3749,6764,15719,18648,18242,13358,4089,481,38,81095,74,208,396,331,333,249,35,0,0,1623,717,290,202,214,206,184,78,6,5,1903,790,503,594,547,538,433,113,5,3,3524,4533,7272,16318,19192,18777,13787,4202,491,41,84613,4413,1250,1960,2376,2624,5288,11643,8356,3523,41425,216,298,683,700,589,515,539,413,309,4255,9163,8816,18952,22268,21990,19590,16381,9268,3870,130296
CED226,2532,4858,9071,8578,9655,6802,2120,295,26,43930,2997,945,1106,1794,2378,3463,6092,4790,2860,26423,134,175,370,315,332,247,248,264,281,2372,5657,5977,10543,10684,12363,10519,8461,5347,3168,72722,126,2879,12383,11181,12861,8570,1982,197,8,50185,3171,5278,4113,4321,4904,4579,2658,577,52,29658,569,683,768,617,412,464,250,51,14,3827,45,115,231,189,162,106,39,16,4,908,3902,8955,17491,16304,18342,13718,4932,840,78,84572,30,221,413,344,363,274,49,7,0,1707,737,494,262,192,197,187,79,18,0,2165,774,712,670,538,563,466,125,23,0,3874,4679,9673,18166,16849,18907,14180,5053,863,78,88445,6592,2057,1940,2418,3353,5398,10240,8290,4497,44788,260,337,766,609,659,525,462,451,413,4473,11534,12067,20867,19873,22915,20099,15755,9605,4987,137707
CED227,2786,4001,10408,10366,8407,4910,1007,102,9,41992,2060,743,2585,2553,1758,2775,4836,3024,1094,21442,214,217,668,563,448,353,321,270,166,3221,5061,4964,13663,13482,10612,8044,6162,3402,1271,66650,800,3836,13484,14373,11611,6400,1050,78,12,51629,3267,3129,5409,6076,4611,3278,1202,195,18,27182,432,423,1264,780,524,508,170,26,0,4129,79,184,438,346,236,137,44,19,6,1490,4577,7568,20597,21579,16974,10325,2469,315,37,84432,147,292,496,370,317,218,40,0,0,1863,778,323,287,265,149,144,48,7,0,2000,924,612,781,635,465,364,78,7,0,3865,5502,8178,21383,22212,17443,10688,2548,319,38,88304,4642,1413,3359,3335,2531,4243,8314,5599,1803,35250,455,478,1329,1160,918,664,578,460,239,6281,10598,10078,26068,26702,20885,15597,11444,6381,2079,129832
CED228,2385,4434,12885,12677,7547,4601,761,42,3,45335,2741,1267,4614,3969,2501,3733,4651,2306,878,26660,295,396,1258,974,531,358,313,203,158,4472,5420,6088,18757,17623,10575,8693,5721,2555,1038,76468,526,3595,15812,19090,10733,6167,928,38,0,56884,2776,4358,7484,6919,4121,2980,841,79,6,29560,339,454,1204,1025,520,469,141,16,0,4169,72,293,799,571,255,148,43,8,0,2185,3709,8701,25294,27606,15632,9767,1944,134,11,92800,209,578,1268,919,559,307,45,0,0,3891,862,555,725,506,261,183,52,4,0,3157,1074,1133,2003,1425,820,488,93,5,0,7046,4786,9835,27297,29028,16454,10257,2040,136,14,99843,5874,2426,6118,5330,3730,5794,8433,4315,1351,43383,630,876,2546,2059,1101,742,575,367,239,9132,11294,13134,35954,36421,21287,16791,11050,4825,1603,152359
CED229,1322,4645,17876,11684,8647,5675,1897,216,21,51986,1540,1002,1829,1735,1714,2680,4616,3100,1401,19614,119,344,1253,870,569,455,397,331,343,4680,2989,5998,20964,14287,10935,8802,6911,3650,1757,76283,132,2987,23312,16912,12101,7165,1773,187,16,64579,1510,4156,8398,5123,3971,3656,2267,463,31,29586,293,661,1505,1000,493,437,231,39,3,4655,26,139,496,263,136,95,57,16,9,1241,1963,7954,33707,23302,16705,11355,4331,698,59,100070,36,273,826,647,516,350,59,5,4,2709,404,469,459,228,198,209,103,12,0,2088,438,741,1282,875,717,558,165,16,4,4799,2403,8689,34993,24176,17424,11910,4487,712,60,104865,3231,2012,3067,2593,2777,4449,8112,5617,2285,34148,249,656,2543,1756,1270,980,830,628,517,9421,5881,11363,40606,28521,21470,17343,13427,6958,2862,148433
CED230,2252,2863,7135,6599,7618,7273,2016,303,29,36087,1706,751,1996,1750,2056,4031,7837,5600,2795,28529,322,294,740,743,734,793,791,692,520,5629,4283,3902,9873,9092,10412,12097,10641,6596,3339,70245,1005,3458,9074,8126,9470,8629,2247,350,40,42400,2715,1864,4029,4130,4333,5057,2248,439,55,24871,278,288,843,507,523,794,311,50,16,3606,136,155,398,291,331,286,120,94,12,1824,4138,5767,14346,13049,14656,14761,4927,934,122,72700,148,273,401,310,333,325,36,0,0,1829,295,172,257,169,174,258,61,7,0,1394,444,444,658,475,511,582,98,7,3,3223,4585,6210,14999,13530,15169,15343,5030,940,122,75928,3708,1388,3004,2763,3602,7160,14878,10444,4522,51472,696,639,1556,1512,1555,1728,1705,1308,819,11516,8984,8235,19562,17807,20319,24230,21612,12696,5466,138916
CED231,2012,3851,10147,9424,8625,5738,1345,85,3,41239,1661,662,1438,1677,1690,3028,5890,4510,2174,22735,110,184,568,469,370,290,289,295,151,2723,3790,4692,12153,11574,10688,9057,7522,4889,2332,66690,300,2929,13584,12783,11608,7050,1245,76,4,49581,2456,3625,4724,4700,4398,3626,1538,182,3,25248,459,524,1011,856,520,517,248,34,7,4161,38,112,312,235,184,121,54,12,0,1068,3258,7191,19626,18579,16713,11318,3072,304,20,80068,82,271,548,411,422,322,27,0,0,2086,566,336,284,221,200,211,68,5,0,1892,641,607,830,628,622,535,99,7,0,3973,3901,7795,20460,19205,17328,11848,3173,309,18,84043,3749,1396,2331,2405,2701,4919,10282,8016,3593,39393,235,380,1163,910,769,603,509,531,249,5354,7886,9572,23961,22522,20803,17371,13963,8855,3856,128786
CED232,2682,3310,8270,9794,8971,5696,1291,132,8,40149,2052,587,1988,2052,1733,2935,5362,2735,938,20372,226,137,479,496,437,379,307,201,131,2788,4956,4030,10739,12340,11141,9004,6954,3069,1076,63308,830,3244,10690,12760,11936,7036,1234,119,8,47862,3147,2781,4200,5824,4898,3887,1524,259,16,26537,425,392,1102,866,591,693,208,39,0,4318,82,157,335,315,229,149,61,18,3,1343,4484,6568,16323,19767,17655,11769,3034,433,31,80063,128,256,387,344,299,226,23,4,0,1662,625,203,225,223,204,177,31,8,0,1693,748,457,612,559,499,404,61,9,0,3348,5233,7029,16940,20324,18153,12172,3092,446,33,83411,4590,1148,2672,2770,2552,4649,9611,5346,1523,34866,454,332,928,955,880,781,616,412,193,5551,10275,8507,20536,24045,21585,17607,13314,6201,1750,123834
CED233,2209,10299,27971,11825,6745,4342,1263,162,10,64822,1843,3774,3768,1976,1607,2350,3782,2398,1163,22658,278,976,2238,977,566,456,335,177,81,6097,4326,15054,33977,14783,8916,7154,5380,2731,1255,93572,166,5316,35896,17680,9447,5429,1223,122,7,75291,2194,9286,14242,5647,3247,2736,1410,291,12,39062,471,1439,2272,1095,390,389,155,25,0,6239,54,308,728,264,126,59,18,17,7,1579,2885,16346,53142,24693,13207,8612,2804,452,25,122175,57,714,1685,706,484,318,58,3,0,4030,742,1629,1101,323,241,225,69,7,0,4336,798,2338,2785,1036,722,546,125,12,0,8366,3685,18685,55926,25725,13932,9158,2931,463,25,130537,3594,7401,6860,3289,2788,4136,6613,4264,1818,40767,491,1889,4540,2165,1255,1007,673,361,160,12535,7776,27976,67326,31175,17975,14302,10215,5089,2004,183844
CED234,2435,4086,8326,9421,9489,6689,1719,221,16,42411,2275,841,1642,2381,2382,4167,7087,6331,3050,30155,100,161,423,393,345,276,291,348,312,2647,4818,5085,10392,12194,12220,11134,9097,6895,3383,75208,322,2855,10619,12156,12082,7887,1588,168,4,47688,3017,4216,4494,5384,5643,4970,2134,433,29,30314,466,558,757,723,501,591,252,50,11,3903,29,122,329,237,177,153,36,23,5,1116,3832,7751,16200,18497,18402,13604,4011,672,52,83013,59,246,515,419,466,314,49,7,0,2069,767,451,316,312,266,272,82,15,0,2476,824,701,832,732,730,585,131,18,0,4551,4660,8451,17029,19235,19130,14190,4137,689,52,87568,5265,1984,2736,3262,3583,6465,12114,11274,5222,51897,234,339,843,752,704,527,535,598,502,5036,10157,10771,20607,23247,23420,21181,16789,12559,5775,144504
CED235,2111,2426,6010,6124,7043,6404,1792,225,25,32173,1473,481,1566,1499,1664,4219,8438,5053,2053,26444,210,170,515,550,519,641,668,533,297,4100,3798,3084,8088,8175,9232,11269,10893,5811,2375,62717,776,2523,7209,7076,8006,6364,1534,197,20,33705,2448,1837,3443,4052,4524,5126,2295,406,33,24168,372,265,814,637,560,893,339,45,9,3932,122,134,290,240,267,201,112,48,16,1425,3716,4767,11763,12007,13359,12584,4269,697,75,63234,128,189,324,220,292,310,33,0,0,1506,299,130,186,156,169,241,56,3,3,1243,434,316,514,371,458,551,91,6,5,2747,4154,5079,12273,12376,13818,13138,4366,704,80,65981,3077,922,2268,2294,2819,7107,15722,9687,3394,47272,425,369,954,1089,1090,1271,1317,989,522,8031,7650,6375,15497,15754,17726,21510,21404,11374,3987,121284
CED236,2393,2934,6821,6642,7624,6702,1827,204,24,35162,1623,774,1807,1723,1842,3686,7420,5075,2260,26221,278,267,684,652,608,683,659,608,409,4859,4293,3977,9310,9023,10082,11072,9904,5888,2694,66241,1148,3483,8641,8144,9693,7835,1886,228,22,41080,2813,1913,3773,4085,4294,4643,2060,348,34,23951,374,273,789,519,587,822,330,42,8,3744,155,155,335,273,293,239,131,54,25,1660,4482,5830,13539,13018,14861,13549,4401,669,81,70437,145,241,375,284,305,263,21,6,0,1638,378,173,207,166,158,201,53,11,0,1348,523,414,586,446,465,466,76,9,0,2984,5012,6243,14121,13469,15325,14010,4475,676,81,73415,3556,1451,2803,2745,3261,6395,13924,9773,3756,47664,639,600,1436,1303,1361,1441,1375,1134,637,9934,9207,8291,18361,17517,19953,21840,19778,11593,4479,131014
CED237,2112,4059,9602,9390,7479,4936,899,51,3,38535,2320,1047,2941,3187,2740,4231,5948,3629,1455,27494,181,253,614,558,380,325,360,345,305,3323,4611,5358,13158,13132,10603,9501,7206,4030,1762,69353,465,3281,12372,12819,9839,6308,1097,32,6,46208,2462,3809,5601,5738,4446,3481,971,89,5,26594,288,408,955,768,479,499,132,14,0,3545,62,214,545,390,232,141,53,16,3,1658,3282,7705,19474,19707,14999,10426,2251,155,10,78009,140,417,825,622,478,313,36,0,0,2835,774,442,415,355,254,198,40,0,0,2476,908,860,1238,978,729,517,75,5,0,5310,4185,8567,20711,20686,15726,10936,2326,156,10,83315,5020,2157,4383,4570,4344,6631,10662,6689,2458,46911,398,597,1350,1173,839,671,645,603,457,6715,9602,11325,26442,26426,20910,18236,13637,7448,2925,136944
CED238,2406,2623,6376,6646,7850,7377,2253,313,40,35874,1472,537,1418,1363,1606,3716,7590,5086,2424,25214,240,202,490,542,567,614,650,525,379,4214,4123,3364,8280,8556,10016,11711,10494,5927,2849,65309,1160,3224,8012,7650,9378,7967,2266,373,34,40066,2900,1754,3849,4432,4759,5469,2543,463,56,26218,381,251,863,632,671,967,379,62,10,4212,142,124,303,256,245,243,184,93,26,1611,4580,5352,13024,12969,15058,14642,5374,992,125,72115,83,173,245,198,265,207,27,3,0,1190,261,124,129,146,149,214,46,10,0,1082,337,297,373,348,414,421,75,13,0,2274,4920,5647,13393,13318,15475,15062,5448,1001,125,74389,3141,979,2310,2349,3037,6569,14363,9371,3843,45963,544,447,1054,1106,1187,1272,1335,959,583,8488,8601,7078,16759,16776,19697,22905,21143,11334,4556,128845
CED239,1534,4619,14379,10523,7508,4583,870,67,6,44081,1532,986,2249,2089,1793,2713,4224,3773,2473,21828,130,247,818,495,337,263,245,285,297,3117,3197,5846,17440,13111,9634,7560,5333,4127,2776,69028,239,2861,17819,14038,9761,5527,835,49,4,51126,1878,4692,8015,5869,4153,2994,924,105,4,28637,284,640,1406,1021,489,448,131,13,0,4433,32,221,443,265,155,87,32,16,6,1254,2428,8419,27688,21199,14552,9055,1923,182,14,85448,70,358,787,504,458,269,37,0,0,2488,473,467,487,260,208,152,44,0,0,2102,551,828,1272,767,665,426,82,0,0,4597,2978,9242,28956,21965,15219,9479,2004,183,11,90043,3308,1889,3612,3194,3061,4637,7386,6391,4014,37493,263,535,1695,1090,728,550,468,511,460,6297,6556,11671,34271,26247,19003,14656,9855,7085,4486,133834
CED294,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
