SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL20513,181,143,129,111,164,308,301,226,110,1673
SAL20514,20,17,5,7,13,13,3,10,0,85
SAL20515,32,14,19,12,16,24,19,14,0,139
SAL20516,943,510,691,924,958,1060,1206,800,411,7506
SAL20517,56,27,42,33,40,46,25,15,5,297
SAL20518,16,9,6,9,20,22,25,8,3,110
SAL20519,0,0,0,0,10,5,7,4,0,27
SAL20520,9,0,3,3,0,0,0,0,0,14
SAL20521,887,671,795,706,720,578,717,401,287,5748
SAL20522,157,247,291,160,150,130,124,37,15,1293
SAL20523,2660,2158,3062,2235,1882,1650,1799,878,580,16903
SAL20524,2243,1334,1446,1727,1724,1457,1365,677,357,12328
SAL20525,4,3,3,5,13,18,7,3,0,59
SAL20526,57,26,35,44,49,56,66,24,10,366
SAL20527,66,34,16,29,47,41,21,8,4,266
SAL20528,1505,1120,2094,1561,1106,880,660,439,181,9552
SAL20529,0,0,0,0,0,0,0,0,0,0
SAL20530,0,0,0,0,0,0,0,0,0,0
SAL20531,3,3,4,3,3,10,9,0,0,42
SAL20532,7,4,0,4,3,11,11,0,0,42
SAL20533,511,418,779,377,169,176,81,55,41,2612
SAL20534,12,6,6,9,15,8,13,5,0,82
SAL20535,138,89,86,69,141,184,209,114,62,1095
SAL20536,17,6,3,6,9,4,4,0,0,49
SAL20537,1427,621,1205,1311,1156,948,829,531,307,8347
SAL20538,1053,586,534,830,749,641,543,341,111,5393
SAL20539,4311,2451,3017,3750,3376,2601,2056,1464,955,23992
SAL20540,7,6,5,7,8,13,6,4,3,60
SAL20541,7,8,3,12,10,12,12,4,0,68
SAL20542,0,0,0,0,0,0,0,0,0,3
SAL20543,35,14,19,27,26,33,39,12,0,213
SAL20544,0,0,0,0,0,0,0,0,0,0
SAL20545,35,17,24,26,33,26,35,6,0,204
SAL20546,24,3,8,10,10,10,13,3,0,85
SAL20547,115,39,64,81,123,141,133,54,15,763
SAL20548,4,0,4,10,12,10,17,0,0,50
SAL20549,9,10,4,8,10,20,24,4,3,91
SAL20550,0,0,0,5,0,0,0,0,0,3
SAL20551,239,165,129,143,237,277,235,144,23,1580
SAL20552,8,4,9,5,21,13,11,5,3,77
SAL20553,0,3,0,0,5,0,0,0,0,3
SAL20554,7,0,0,4,0,8,3,0,0,17
SAL20555,24,13,4,16,21,21,8,7,0,111
SAL20556,2301,1421,1536,1629,1502,1362,1174,691,165,11779
SAL20557,0,0,0,0,0,0,0,3,0,8
SAL20558,10,8,7,4,7,8,15,3,0,61
SAL20559,54,48,30,49,58,84,36,17,4,365
SAL20560,169,98,110,104,129,158,142,55,16,981
SAL20561,938,646,637,561,547,650,610,303,47,4924
SAL20562,0,0,0,0,0,0,0,0,0,0
SAL20563,0,0,0,0,0,4,0,4,0,13
SAL20564,35,11,26,18,9,25,21,9,4,163
SAL20565,3,5,0,0,4,7,5,6,0,35
SAL20566,1099,756,891,975,905,958,968,596,298,7441
SAL20567,51,35,38,28,43,50,29,24,0,303
SAL20568,17,12,6,11,7,10,11,6,0,75
SAL20569,1570,5373,5811,2088,1201,1025,784,656,484,18988
SAL20570,1892,1762,3092,1918,1440,1209,1048,746,283,13381
SAL20571,7,9,10,7,8,10,9,6,0,57
SAL20572,69,40,52,42,47,46,29,21,7,352
SAL20573,53,20,39,26,23,54,27,6,5,252
SAL20574,1053,507,1421,1137,825,698,617,258,88,6606
SAL20575,1186,721,737,856,948,1162,1242,645,156,7646
SAL20576,59,38,36,43,43,49,46,25,0,347
SAL20577,3,3,0,5,0,4,0,0,0,15
SAL20578,25,20,28,19,20,40,20,12,0,178
SAL20579,0,0,0,0,0,6,9,0,0,25
SAL20580,261,151,147,197,260,328,302,149,50,1844
SAL20581,3026,1144,3057,2094,868,590,291,97,20,11177
SAL20582,9204,3367,6305,6591,2977,1576,1093,496,77,31681
SAL20583,34,17,8,18,21,21,9,4,0,133
SAL20584,5,5,8,4,11,13,21,3,0,62
SAL20585,10,3,6,8,6,14,5,0,0,55
SAL20586,46,25,26,27,30,40,28,17,0,245
SAL20587,21,15,10,8,17,19,9,4,0,104
SAL20588,0,0,0,0,0,0,0,0,0,0
SAL20589,0,0,0,0,0,0,0,0,0,0
SAL20590,1153,371,905,718,233,141,77,8,4,3601
SAL20591,284,185,176,142,235,270,240,196,88,1804
SAL20592,974,554,679,659,665,752,959,648,257,6148
SAL20593,53,37,18,17,42,38,22,9,4,232
SAL20594,10,0,9,4,10,11,16,5,5,72
SAL20595,11,0,6,8,10,11,9,5,0,58
SAL20596,4051,2979,5050,4399,3662,2684,1890,1219,628,26574
SAL20597,1480,850,1337,1458,1189,794,483,404,335,8327
SAL20598,4,0,0,0,3,0,0,0,0,4
SAL20599,0,0,0,0,0,6,3,0,0,9
SAL20600,999,490,597,644,626,578,336,100,31,4408
SAL20601,0,0,0,0,0,0,0,0,0,0
SAL20602,8,7,4,5,11,4,4,0,0,37
SAL20603,10,7,12,10,6,11,21,6,0,80
SAL20604,339,173,173,218,289,345,455,301,132,2415
SAL20605,66,50,20,61,63,65,56,17,3,409
SAL20606,0,0,0,0,0,0,0,0,0,0
SAL20607,1479,964,1277,980,1036,1088,1160,829,445,9243
SAL20608,10,9,0,7,10,7,8,3,0,61
SAL20609,14,10,41,10,11,27,28,14,3,168
SAL20610,30,4,18,16,9,5,5,5,0,89
SAL20611,57,26,31,27,29,44,37,29,4,285
SAL20612,11,5,0,10,5,10,3,4,0,41
SAL20613,440,260,319,288,243,292,233,110,22,2199
SAL20614,133,84,68,91,130,200,190,97,76,1062
SAL20615,38,29,74,44,27,55,29,9,3,305
SAL20616,898,847,3348,1752,1030,661,394,189,67,9179
SAL20617,0,0,0,0,0,4,0,0,0,7
SAL20618,20,17,10,7,25,38,16,10,6,146
SAL20619,13,5,7,21,20,16,10,3,0,104
SAL20620,117,81,61,76,104,93,64,22,0,620
SAL20621,156,91,41,90,169,170,179,49,8,953
SAL20622,7,0,4,0,0,4,3,0,3,23
SAL20623,6,3,0,4,8,9,9,0,0,38
SAL20624,619,413,467,403,362,308,277,227,105,3193
SAL20625,16,16,4,10,13,25,10,5,0,94
SAL20626,17,16,13,16,26,30,8,5,0,134
SAL20627,64,29,29,44,49,49,41,15,0,308
SAL20628,10,21,9,17,36,43,63,25,0,229
SAL20629,3,0,0,5,6,4,6,0,0,30
SAL20630,0,4,3,0,4,3,0,5,0,18
SAL20631,42,34,50,40,39,64,29,14,3,311
SAL20632,0,6,3,0,7,15,11,5,0,42
SAL20633,47,25,17,20,36,26,26,17,4,220
SAL20634,5,5,0,4,6,3,3,0,0,33
SAL20635,0,0,3,0,0,3,0,0,0,10
SAL20636,22,19,22,17,21,35,28,3,0,171
SAL20637,6,3,8,10,10,29,17,6,0,88
SAL20638,9,14,16,15,19,22,31,3,3,131
SAL20639,184,83,98,114,131,225,236,86,21,1181
SAL20640,2873,2408,2318,1767,1875,1860,1449,728,219,15497
SAL20641,0,3,5,0,11,11,5,0,0,27
SAL20642,10,5,9,4,8,9,5,9,0,43
SAL20643,4,9,3,4,26,21,13,11,0,94
SAL20644,152,82,104,107,143,196,194,105,23,1108
SAL20645,23,14,11,21,21,32,26,13,0,161
SAL20646,86,41,53,44,36,55,22,14,0,358
SAL20647,0,3,0,0,0,3,3,0,0,17
SAL20648,206,97,126,131,148,211,193,166,73,1352
SAL20649,23,15,17,4,14,13,15,12,0,119
SAL20650,0,6,10,0,0,15,0,4,0,50
SAL20651,4,6,9,0,3,7,16,3,4,53
SAL20652,11,0,4,9,10,18,18,5,0,70
SAL20653,0,0,0,0,0,6,0,4,4,20
SAL20654,93,73,44,49,77,126,113,37,7,609
SAL20655,0,0,0,0,0,0,0,0,0,0
SAL20656,6,4,6,3,10,5,0,3,5,33
SAL20657,936,424,529,630,732,1036,1305,710,284,6593
SAL20658,4,9,7,4,0,9,0,0,0,34
SAL20659,53,45,43,41,51,68,68,16,3,389
SAL20660,5,10,6,7,6,11,10,6,0,62
SAL20661,16763,8538,11083,11902,7100,5355,3008,1105,326,65178
SAL20662,4299,2800,3494,3027,2661,2358,1648,742,245,21281
SAL20663,6731,3200,3792,4756,2480,1382,1096,852,390,24679
SAL20664,6466,3314,3649,4383,3069,2101,1105,491,103,24683
SAL20665,653,362,602,456,365,380,281,115,22,3241
SAL20666,5308,2234,3654,3671,2097,1457,974,415,151,19969
SAL20667,0,5,0,0,3,7,9,4,0,34
SAL20668,3,7,0,0,11,0,7,8,0,39
SAL20669,22,16,15,13,23,26,41,5,0,162
SAL20670,173,230,812,373,237,187,88,42,11,2158
SAL20671,27,12,18,14,19,35,29,22,5,176
SAL20672,507,265,288,332,440,491,514,302,140,3279
SAL20673,16,9,7,8,9,6,0,0,0,55
SAL20674,652,369,465,418,454,446,347,162,30,3343
SAL20675,0,0,0,0,0,0,0,0,0,0
SAL20676,0,0,0,0,0,0,3,0,0,5
SAL20677,0,5,0,4,9,4,7,0,0,27
SAL20678,42,20,13,24,29,46,41,13,0,235
SAL20679,20,22,14,11,23,39,18,8,3,161
SAL20680,13,3,0,6,19,15,9,5,0,72
SAL20681,8,11,7,3,17,9,3,0,0,70
SAL20682,5150,2852,4071,4169,3454,3061,2886,2026,930,28608
SAL20683,876,707,436,585,751,751,476,211,43,4839
SAL20684,1495,956,945,1153,1075,1113,792,392,168,8092
SAL20685,958,465,644,721,628,552,459,253,80,4759
SAL20686,0,7,0,5,0,4,0,0,0,15
SAL20687,84,38,33,44,59,27,25,8,0,311
SAL20688,23,23,22,18,42,58,46,16,3,254
SAL20689,0,4,4,3,19,31,23,3,0,86
SAL20690,7,7,5,0,5,3,8,0,0,31
SAL20691,9,3,3,3,6,3,3,0,0,36
SAL20692,12,14,5,4,10,11,17,9,0,81
SAL20693,4,0,0,0,0,3,7,0,0,15
SAL20694,0,0,0,0,0,4,3,0,0,10
SAL20695,3,4,3,3,3,0,5,0,0,25
SAL20696,20,13,13,10,22,20,14,8,0,125
SAL20697,995,443,666,632,446,448,377,147,27,4175
SAL20698,0,0,3,4,0,11,3,0,0,20
SAL20699,4,3,3,9,10,18,20,4,0,69
SAL20700,53,34,18,39,61,69,73,43,3,398
SAL20701,85,37,42,67,69,54,35,8,0,403
SAL20702,1602,968,1026,833,794,680,435,322,98,6762
SAL20703,9,21,25,0,38,25,7,13,4,142
SAL20704,9,5,5,4,9,15,13,3,0,57
SAL20705,0,0,0,0,0,0,0,0,0,0
SAL20706,162,78,119,121,95,132,102,28,4,843
SAL20707,5706,3729,6231,4735,3188,2705,1974,1243,618,30127
SAL20708,3944,2701,3350,3129,2759,2515,2245,1366,543,22550
SAL20709,0,8,20,11,24,28,17,11,0,125
SAL20710,0,0,0,0,0,0,0,0,0,8
SAL20711,17,3,6,11,7,20,32,9,0,105
SAL20712,1949,1135,1217,1260,1262,1120,799,307,135,9190
SAL20713,10,4,3,3,13,7,3,3,0,46
SAL20714,8,9,13,5,17,12,14,8,0,84
SAL20715,157,97,69,94,133,91,64,41,5,759
SAL20716,66,44,36,43,60,88,44,19,3,402
SAL20717,0,5,0,0,7,0,5,0,0,12
SAL20718,30,25,29,31,35,64,64,25,8,299
SAL20719,21,7,6,9,8,24,36,6,0,130
SAL20720,4,0,3,5,4,7,14,3,0,40
SAL20721,318,157,254,268,368,552,492,251,124,2781
SAL20722,31,13,9,17,18,17,16,6,0,132
SAL20723,70,34,34,37,55,74,45,19,6,368
SAL20724,174,96,144,131,54,35,22,6,0,654
SAL20725,0,0,0,0,3,3,4,4,0,12
SAL20726,34,18,28,22,19,36,26,10,0,198
SAL20727,33,18,10,31,34,29,38,14,7,210
SAL20728,304,304,183,233,251,267,238,195,116,2101
SAL20729,3691,2064,3084,2825,2100,1767,1647,805,160,18145
SAL20730,976,696,780,586,613,584,608,349,213,5408
SAL20731,1293,1060,1207,967,1093,1193,830,329,96,8077
SAL20732,5,0,0,7,0,5,0,0,0,13
SAL20733,5,6,4,0,4,8,11,0,0,37
SAL20734,3,12,4,8,4,6,3,0,0,41
SAL20735,4,3,0,0,5,3,5,3,0,19
SAL20736,102,61,55,68,55,46,32,19,3,453
SAL20737,442,277,290,281,271,173,172,69,24,1994
SAL20738,15,7,8,20,23,21,44,10,0,148
SAL20739,0,0,0,0,0,0,0,0,0,0
SAL20740,4,0,0,0,0,5,4,0,0,18
SAL20741,124,66,62,71,92,123,91,31,3,664
SAL20742,8,10,0,5,7,5,14,7,0,57
SAL20743,2427,1052,1167,1802,1116,639,308,115,16,8651
SAL20744,6,6,7,11,18,22,24,8,4,99
SAL20745,61,25,30,32,38,85,61,43,14,386
SAL20746,27,11,20,13,32,37,42,18,5,208
SAL20747,4,0,8,0,4,0,0,0,0,14
SAL20748,268,175,170,172,240,220,186,100,24,1551
SAL20749,49,25,31,40,48,67,69,28,5,352
SAL20750,23,6,14,22,22,17,33,12,5,151
SAL20751,34,24,88,74,65,43,24,3,4,369
SAL20752,2426,1781,1401,1618,1910,1729,1069,445,125,12503
SAL20753,27,15,0,11,20,11,16,14,0,122
SAL20754,1189,541,1326,931,571,561,381,142,20,5669
SAL20755,6,7,13,7,12,15,9,3,0,78
SAL20756,215,150,146,156,204,268,252,169,86,1635
SAL20757,32,22,28,11,26,23,24,22,7,195
SAL20758,1847,1205,843,1332,1547,1408,1227,773,321,10495
SAL20759,22,9,11,16,9,9,21,8,0,99
SAL20760,12,18,25,19,27,8,9,0,0,128
SAL20761,25,31,6,15,31,20,13,10,6,148
SAL20762,40,38,33,34,34,73,58,29,8,344
SAL20763,11,0,0,9,7,6,0,4,0,33
SAL20764,10,9,11,10,25,28,3,16,0,106
SAL20765,8,9,7,0,13,8,3,3,0,59
SAL20766,1208,1813,6036,2891,1397,1204,695,207,42,15495
SAL20767,6,0,0,6,0,0,0,0,0,13
SAL20768,4,9,3,3,7,17,8,8,0,61
SAL20769,111,66,51,68,79,108,67,36,4,586
SAL20770,235,121,130,124,175,221,218,158,87,1472
SAL20771,3491,2853,3886,3485,2941,2853,2443,2077,989,25020
SAL20772,5585,3333,3366,4587,3857,3713,3120,2382,989,30926
SAL20773,529,205,661,420,139,95,46,8,6,2100
SAL20774,2084,1532,1059,1526,1816,1648,1357,1040,584,12644
SAL20775,0,0,4,0,0,4,0,0,0,13
SAL20776,46,25,20,19,41,56,19,23,0,250
SAL20777,59,28,20,35,51,61,39,22,3,333
SAL20778,0,32,7,3,7,0,0,0,0,51
SAL20779,7295,3177,3760,5047,3524,2066,1551,621,90,27122
SAL20780,9,0,5,3,0,6,5,0,0,21
SAL20781,0,0,0,0,0,0,0,0,0,0
SAL20782,17,7,0,11,13,15,13,3,0,74
SAL20783,1890,1181,1841,1475,1047,930,706,388,146,9603
SAL20784,18,10,5,8,7,8,7,0,0,77
SAL20785,4,0,0,0,6,6,9,4,0,28
SAL20786,18,9,7,23,19,9,11,6,0,101
SAL20787,5,0,4,6,3,4,14,0,0,46
SAL20788,960,607,607,690,914,920,1085,639,207,6626
SAL20789,3,5,0,0,9,0,3,5,0,19
SAL20790,3119,1581,2109,1728,1679,1781,1814,1089,380,15287
SAL20791,33,21,23,11,36,28,16,6,3,177
SAL20792,51,35,20,31,54,76,47,19,8,343
SAL20793,47,35,26,31,53,65,69,29,9,361
SAL20794,13,0,4,9,0,7,3,4,0,41
SAL20795,28,14,11,17,25,32,26,11,5,160
SAL20796,77,57,49,60,79,86,100,48,13,571
SAL20797,12,0,0,0,8,3,6,4,0,42
SAL20798,55,30,15,29,61,45,46,12,4,294
SAL20799,31,26,5,23,35,33,39,6,4,203
SAL20800,14,19,7,14,18,24,20,3,3,119
SAL20801,4,6,5,3,3,12,11,0,0,41
SAL20802,748,492,357,459,568,698,853,543,254,4976
SAL20803,12,9,9,3,8,8,0,7,3,47
SAL20804,80,34,40,50,58,80,74,24,12,455
SAL20805,7,11,7,6,22,17,9,6,3,90
SAL20806,0,6,0,0,3,10,3,0,0,18
SAL20807,6,0,10,0,10,23,20,5,4,83
SAL20808,6,9,7,0,7,17,12,0,0,52
SAL20809,115,45,70,73,92,82,135,51,13,688
SAL20810,4,4,3,4,5,6,10,3,4,36
SAL20811,3,0,0,3,0,3,3,0,0,15
SAL20812,49,39,19,24,45,36,24,18,9,259
SAL20813,113,70,51,55,116,171,181,121,22,899
SAL20814,14,4,3,10,12,9,6,8,0,70
SAL20815,0,4,0,0,4,0,5,0,0,12
SAL20816,76,42,25,62,79,52,51,16,3,408
SAL20817,9,0,8,6,4,6,19,0,0,60
SAL20818,9,0,0,0,5,8,9,0,0,32
SAL20819,0,0,0,0,0,0,0,0,0,0
SAL20820,15,15,9,8,13,17,22,3,0,91
SAL20821,4,0,0,4,3,3,5,0,0,23
SAL20822,135,94,89,85,150,255,319,131,46,1306
SAL20823,932,612,729,574,672,751,731,401,139,5538
SAL20824,0,0,3,0,0,0,0,0,0,13
SAL20825,612,529,389,398,538,624,513,252,108,3960
SAL20826,12,0,6,5,7,20,17,5,0,82
SAL20827,226,177,149,114,176,183,206,97,22,1352
SAL20828,285,244,354,235,258,303,266,186,106,2246
SAL20829,618,468,598,496,575,578,441,179,63,4012
SAL20830,289,368,1144,786,552,663,651,324,119,4896
SAL20831,3,117,64,13,4,3,0,0,0,210
SAL20832,16,9,7,7,12,10,9,0,0,66
SAL20833,131,81,92,101,149,155,127,55,9,906
SAL20834,4,4,0,6,0,10,15,7,0,47
SAL20835,3,0,0,0,5,3,0,0,0,13
SAL20836,476,271,239,268,297,305,429,405,148,2855
SAL20837,18,13,10,15,14,19,21,7,0,110
SAL20838,2536,1665,1689,1553,1871,2065,1920,1230,527,15056
SAL20839,88,67,42,48,97,108,79,34,9,577
SAL20840,81,52,36,40,88,73,50,17,5,442
SAL20841,47,29,41,25,22,38,18,5,3,222
SAL20842,25,11,8,17,14,16,9,4,3,113
SAL20843,215,149,79,134,222,196,133,49,8,1194
SAL20844,128,56,87,91,118,150,161,90,55,937
SAL20845,16,9,4,12,19,9,21,8,3,103
SAL20846,11,8,6,0,9,9,9,4,3,60
SAL20847,20,11,0,10,21,21,13,0,3,109
SAL20848,1190,614,823,990,930,785,479,338,124,6276
SAL20849,31,13,24,25,37,35,34,8,3,206
SAL20850,101,67,69,84,114,191,172,91,52,944
SAL20851,32,27,20,33,31,37,27,16,0,232
SAL20852,57,30,29,45,60,69,58,37,9,382
SAL20853,9,3,3,4,4,12,6,0,0,39
SAL20854,14,8,5,3,14,12,3,4,0,57
SAL20855,27,22,13,12,19,12,8,3,3,118
SAL20856,0,0,0,0,0,0,0,0,0,0
SAL20857,55,22,21,31,39,19,18,3,0,206
SAL20858,26,23,24,24,14,31,17,4,0,157
SAL20859,657,399,326,409,439,430,341,204,48,3260
SAL20860,42,25,21,27,32,37,27,15,0,229
SAL20861,16,19,13,8,27,37,42,22,8,185
SAL20862,133,66,85,66,107,139,118,104,30,847
SAL20863,97,46,59,71,91,106,112,46,8,633
SAL20864,1855,1199,1846,1538,1468,1220,991,519,256,10887
SAL20865,3518,2352,1499,2363,2963,2660,2217,992,276,18847
SAL20866,1364,866,577,834,1058,1059,759,248,52,6830
SAL20867,1979,1244,3301,2841,2401,1779,1042,425,147,15153
SAL20868,1093,709,522,750,909,816,692,302,102,5890
SAL20869,4,0,0,3,0,9,8,5,0,37
SAL20870,82,36,19,41,63,78,42,11,3,376
SAL20871,4306,2909,3327,3389,2928,3446,2720,1079,361,24455
SAL20872,137,35,76,82,98,75,41,19,3,574
SAL20873,8,0,3,0,5,0,0,0,0,23
SAL20874,0,0,0,0,0,0,3,0,0,3
SAL20875,22,6,14,6,24,31,29,20,7,155
SAL20876,3,8,0,0,6,5,4,5,0,29
SAL20877,130,91,76,92,102,131,92,22,3,746
SAL20878,6970,4042,5240,5404,4067,3570,2465,1172,567,33489
SAL20879,1235,600,855,719,550,449,381,172,51,5014
SAL20880,19,12,9,10,12,7,11,5,0,90
SAL20881,21,19,8,18,34,44,29,12,4,184
SAL20882,0,0,0,0,0,0,0,0,0,0
SAL20883,33,18,23,20,34,50,45,20,4,238
SAL20884,5,3,7,0,0,4,0,0,0,17
SAL20885,3183,2817,3300,2938,3028,2629,1870,962,533,21240
SAL20886,0,0,3,4,6,0,0,0,0,13
SAL20887,447,346,554,493,418,313,271,138,88,3071
SAL20888,276,226,175,199,268,169,124,86,47,1559
SAL20889,443,257,432,318,239,226,187,135,54,2285
SAL20890,6,5,6,0,15,11,3,0,0,43
SAL20891,110,81,99,84,76,75,67,37,11,633
SAL20892,475,309,308,348,341,518,629,375,201,3508
SAL20893,34,22,15,36,32,58,33,11,4,239
SAL20894,20,11,9,13,22,30,40,0,3,147
SAL20895,3,0,0,3,3,0,3,0,0,14
SAL20896,24,22,11,15,36,34,36,17,0,193
SAL20897,29,13,19,8,29,35,13,14,0,154
SAL20898,36,8,17,22,14,17,21,0,0,133
SAL20899,826,267,317,562,422,233,174,38,3,2838
SAL20900,12,3,4,4,6,8,15,4,0,52
SAL20901,1007,664,1228,1112,912,749,494,262,118,6535
SAL20902,49,32,23,28,57,93,74,35,5,390
SAL20903,3,0,0,4,3,3,8,0,0,14
SAL20904,15,17,7,9,8,17,17,3,0,93
SAL20905,0,0,0,0,0,0,0,0,0,0
SAL20906,31,90,82,45,39,24,11,6,0,326
SAL20907,23,27,12,17,39,43,39,13,0,194
SAL20908,11,4,4,9,18,16,11,5,0,82
SAL20909,3027,1728,2371,2136,1501,1260,911,805,534,14274
SAL20910,5,3,0,0,5,7,4,0,0,27
SAL20911,0,0,0,3,0,3,0,5,0,13
SAL20912,24,11,5,16,16,28,14,16,0,125
SAL20913,32,18,19,24,27,35,31,9,0,194
SAL20914,13,0,4,5,7,10,6,4,0,48
SAL20915,10,0,6,3,10,4,5,0,0,32
SAL20916,0,0,0,0,0,0,0,0,0,0
SAL20917,4808,3092,3650,4016,3733,3328,2696,1563,520,27398
SAL20918,267,178,112,188,260,241,174,76,15,1524
SAL20919,7,8,0,0,0,8,0,0,0,28
SAL20920,71,51,29,49,101,148,157,37,6,637
SAL20921,142,89,48,93,113,131,151,83,13,858
SAL20922,3,3,0,0,0,0,4,6,0,11
SAL20923,4,4,4,0,3,0,0,0,0,18
SAL20924,1067,994,3072,1841,1197,1108,697,324,135,10431
SAL20925,1563,1288,3163,1964,1549,1247,1042,667,294,12781
SAL20926,13,12,10,16,7,27,12,8,0,104
SAL20927,13,5,12,3,21,13,20,6,6,97
SAL20928,0,0,0,0,0,0,0,0,0,0
SAL20929,1006,786,1726,1136,868,664,515,216,112,7025
SAL20930,105,80,34,72,107,240,283,182,32,1130
SAL20931,687,819,677,494,412,365,273,142,110,3989
SAL20932,109,82,70,108,124,139,108,50,4,790
SAL20933,31,14,28,25,30,26,19,9,0,188
SAL20934,0,4,0,0,0,0,4,0,0,12
SAL20935,1813,1891,5187,3152,1773,1440,971,573,334,17131
SAL20936,23,24,13,10,33,24,15,13,0,158
SAL20937,1754,1194,1218,1522,1457,1267,1056,849,456,10780
SAL20938,52,56,29,33,51,55,43,22,3,346
SAL20939,29,17,29,26,33,57,39,16,4,257
SAL20940,244,148,125,155,211,349,406,274,132,2044
SAL20941,9,9,5,10,25,30,37,13,3,152
SAL20942,9,0,9,4,14,10,8,8,0,57
SAL20943,5,0,6,0,6,0,5,3,0,31
SAL20944,51,16,7,21,33,19,12,0,5,169
SAL20945,8,8,4,3,3,5,4,0,0,25
SAL20946,9,7,6,11,10,12,5,6,3,71
SAL20947,6176,4199,5898,5174,4788,4398,3748,2144,800,37331
SAL20948,1016,629,963,711,671,700,473,349,194,5711
SAL20949,3589,2060,1568,2371,2704,2378,1996,1378,758,18801
SAL20950,2565,1027,1772,1928,923,509,290,68,11,9097
SAL20951,16,11,11,10,21,21,26,15,0,136
SAL20952,16,13,5,24,22,21,28,13,4,141
SAL20953,3,0,0,0,0,3,0,0,0,7
SAL20954,80,54,30,55,75,59,66,28,9,454
SAL20955,26,16,23,32,39,55,26,17,4,232
SAL20956,43,65,368,308,119,55,32,5,0,994
SAL20957,0,0,4,0,3,0,0,0,0,11
SAL20958,6,4,9,3,11,12,0,12,5,65
SAL20959,15,3,0,5,6,8,6,0,0,47
SAL20960,288,136,191,241,127,128,67,31,4,1206
SAL20961,0,0,0,0,0,3,0,0,0,3
SAL20962,17,0,3,13,3,17,11,0,6,61
SAL20963,26,14,15,11,14,19,7,9,0,110
SAL20964,15,25,17,13,18,30,16,8,6,156
SAL20965,174,96,160,180,146,109,95,45,10,1019
SAL20966,443,247,265,251,258,275,205,138,31,2114
SAL20967,37,32,16,23,34,40,40,15,0,236
SAL20968,36,5,4,25,22,15,12,7,0,131
SAL20969,56,34,42,25,31,29,25,7,3,248
SAL20970,0,0,0,0,3,0,0,0,0,0
SAL20971,14,0,0,4,10,0,0,0,0,35
SAL20972,4,3,13,5,3,13,0,0,0,42
SAL20973,593,809,1104,618,668,806,726,337,153,5811
SAL20974,1262,795,1329,1177,965,790,632,285,98,7345
SAL20975,0,0,0,0,0,3,7,4,0,23
SAL20976,29,20,15,18,41,36,56,13,0,230
SAL20977,0,0,0,0,5,5,7,5,0,19
SAL20978,6,0,0,7,9,7,6,4,0,43
SAL20979,518,307,265,294,385,384,251,125,29,2559
SAL20980,10,0,4,9,7,19,13,7,0,66
SAL20981,0,0,0,0,0,0,0,0,0,0
SAL20982,14,8,0,7,6,18,16,0,0,75
SAL20983,0,0,0,6,0,3,0,0,0,11
SAL20984,11,5,10,9,4,18,8,0,0,65
SAL20985,27,11,9,18,16,18,14,6,0,112
SAL20986,3,0,0,7,0,0,0,3,0,17
SAL20987,0,0,0,0,0,0,0,0,0,0
SAL20988,6,6,4,0,0,9,3,0,0,31
SAL20989,65,49,21,59,56,73,45,11,0,391
SAL20990,14,19,6,9,22,21,19,10,3,132
SAL20991,7,10,0,3,16,18,12,3,0,64
SAL20992,14,10,11,6,8,15,7,0,0,73
SAL20993,10,10,7,7,7,16,13,5,0,72
SAL20994,6,0,0,0,5,7,0,4,0,23
SAL20995,3,3,3,5,10,14,13,6,0,62
SAL20996,11,3,3,3,7,12,0,0,0,45
SAL20997,0,0,0,0,0,0,0,0,0,0
SAL20998,6,0,6,3,4,4,8,0,4,31
SAL20999,107,68,68,59,59,87,68,43,11,563
SAL21000,29,9,12,24,18,13,26,7,0,143
SAL21001,2360,1128,845,1547,1470,1209,916,508,159,10142
SAL21002,142,111,56,93,137,162,95,43,14,854
SAL21003,7,0,4,7,0,3,3,0,0,32
SAL21004,1398,865,1039,1061,927,961,1086,686,192,8213
SAL21005,65,54,35,31,72,72,75,22,4,423
SAL21006,38,18,10,26,29,27,31,3,0,182
SAL21007,10,11,11,0,7,13,4,0,0,59
SAL21008,12,7,9,8,19,32,19,12,0,118
SAL21009,631,495,1300,885,506,421,406,197,63,4905
SAL21010,4518,3621,3208,3406,3891,3207,2323,1407,548,26131
SAL21011,15,14,6,6,12,24,20,3,4,110
SAL21012,0,3,5,3,0,3,3,0,0,23
SAL21013,7080,5797,4968,5923,5552,4898,4026,3001,1396,42642
SAL21014,0,0,0,0,0,4,0,0,0,4
SAL21015,11,0,0,0,4,6,3,3,0,33
SAL21016,7,0,3,0,5,10,6,7,0,48
SAL21017,0,0,0,0,4,0,3,4,0,21
SAL21018,35,25,21,28,29,44,24,8,0,208
SAL21019,3,4,3,6,7,5,3,0,0,30
SAL21020,67,46,29,44,64,75,73,27,14,443
SAL21021,13,3,3,8,5,3,8,0,0,49
SAL21022,4,3,0,0,0,5,0,0,0,12
SAL21023,0,0,0,0,0,0,0,0,0,0
SAL21024,28,17,14,9,26,15,9,10,4,131
SAL21025,226,124,134,133,144,180,109,41,9,1113
